Date,建築物着工統計.居住計.千平米
2013-02-01,6388.336
2013-03-01,6695.213
2013-04-01,7402.151
2013-05-01,7542.463
2013-06-01,7909.029
2013-07-01,8037.434
2013-08-01,7992.103
2013-09-01,8311.95
2013-10-01,8378.136
2013-11-01,8486.403
2013-12-01,8146.475
2014-01-01,7392.525
2014-02-01,6307.566
2014-03-01,6292.071
2014-04-01,6914.017
2014-05-01,6085.615
2014-06-01,6818.302
2014-07-01,6527.253
2014-08-01,6786.895
2014-09-01,6769.556
2014-10-01,6916.584
2014-11-01,6806.135
2014-12-01,6587.177
2015-01-01,5869.205
2015-02-01,5875.792
2015-03-01,6222.088
2015-04-01,6665.791
2015-05-01,6294.958
2015-06-01,7722.498
2015-07-01,6808.432
