Date,鉱工業生産指数.季節調整
2008-01-01,117
2008-02-01,117.3
2008-03-01,116.2
2008-04-01,115.5
2008-05-01,116.1
2008-06-01,112.9
2008-07-01,112.7
2008-08-01,108.7
2008-09-01,110
2008-10-01,107.4
2008-11-01,100.2
2008-12-01,91.9
2009-01-01,83.8
2009-02-01,76.6
2009-03-01,77.6
2009-04-01,81
2009-05-01,84
2009-06-01,85.6
2009-07-01,86.7
2009-08-01,88
2009-09-01,91
2009-10-01,93.3
2009-11-01,95.3
2009-12-01,96.1
2010-01-01,98.5
2010-02-01,98.9
2010-03-01,99.1
2010-04-01,100.2
2010-05-01,100
2010-06-01,99.2
2010-07-01,100.3
2010-08-01,100.7
2010-09-01,102.3
2010-10-01,99.4
2010-11-01,101
2010-12-01,101.6
2011-01-01,102.1
2011-02-01,102.7
2011-03-01,85.8
2011-04-01,87.6
2011-05-01,93.6
2011-06-01,97.5
2011-07-01,98.7
2011-08-01,100.4
2011-09-01,99.5
2011-10-01,101.3
2011-11-01,99.1
2011-12-01,101.1
2012-01-01,101.5
2012-02-01,101.3
2012-03-01,101.1
2012-04-01,100.6
2012-05-01,98.8
2012-06-01,98
2012-07-01,97.5
2012-08-01,96.1
2012-09-01,94
2012-10-01,94.3
2012-11-01,93.4
2012-12-01,94.7
2013-01-01,94
2013-02-01,94.8
2013-03-01,95.1
2013-04-01,95.7
2013-05-01,97.7
2013-06-01,95
2013-07-01,97.6
2013-08-01,97.1
2013-09-01,98.6
2013-10-01,99.2
2013-11-01,99.5
2013-12-01,100
2014-01-01,103.2
2014-02-01,101
2014-03-01,101.5
2014-04-01,99.2
2014-05-01,99.5
2014-06-01,97.6
2014-07-01,97.5
2014-08-01,96.7
2014-09-01,98.1
2014-10-01,98.5
2014-11-01,97.9
2014-12-01,98.1
2015-01-01,102.1
2015-02-01,98.9
2015-03-01,98.1
2015-04-01,99.3
2015-05-01,97.2
2015-06-01,98.3
2015-07-01,97.5
