Date,ガス代
2013-02-01,106.9
2013-03-01,107
2013-04-01,108
2013-05-01,109.3
2013-06-01,110.3
2013-07-01,111.1
2013-08-01,111.5
2013-09-01,111.9
2013-10-01,112.1
2013-11-01,111.6
2013-12-01,111.1
2014-01-01,111.3
2014-02-01,112.2
2014-03-01,113.2
2014-04-01,114.5
2014-05-01,118.6
2014-06-01,118.8
2014-07-01,118.6
2014-08-01,118.4
2014-09-01,118.1
2014-10-01,117.7
2014-11-01,117.5
2014-12-01,117.3
2015-01-01,117.3
2015-02-01,117.8
2015-03-01,118.5
2015-04-01,118.5
2015-05-01,117.3
2015-06-01,115.4
2015-07-01,112.9
