week,対外.短期債.ネット
2015年2月第1週,203
2015年2月第2週,-396
2015年2月第3週,-476
2015年2月第4週,517
2015年3月第1週,656
2015年3月第2週,156
2015年3月第3週,572
2015年3月第4週,-109
2015年3月第5週,-947
2015年4月第2週,338
2015年4月第3週,1343
2015年4月第4週,1598
2015年4月第5週,-143
2015年5月第2週,921
2015年5月第3週,424
2015年5月第4週,-291
2015年5月第5週,771
2015年5月第6週,337
2015年6月第2週,24
2015年6月第3週,82
2015年6月第4週,-645
2015年6月第5週,-417
2015年7月第2週,879
2015年7月第3週,-364
2015年7月第4週,-107
2015年7月第5週,-72
2015年8月第2週,575
2015年8月第3週,823
2015年8月第4週,799
2015年8月第5週,-124
