Date,自動車等関係費
2013-02-01,104.6
2013-03-01,104.8
2013-04-01,106.1
2013-05-01,105.5
2013-06-01,105.5
2013-07-01,106.1
2013-08-01,107.3
2013-09-01,107.6
2013-10-01,106.5
2013-11-01,106.5
2013-12-01,106.3
2014-01-01,106.6
2014-02-01,106.5
2014-03-01,106.6
2014-04-01,108.9
2014-05-01,109.2
2014-06-01,109.5
2014-07-01,110.4
2014-08-01,110.3
2014-09-01,109.9
2014-10-01,109.9
2014-11-01,108.7
2014-12-01,107.6
2015-01-01,105
2015-02-01,103.5
2015-03-01,104.7
2015-04-01,104.5
2015-05-01,105
2015-06-01,105.6
2015-07-01,105.8
