Date,ガス・熱供給・水道業
2008-03-01,138152
2008-06-01,96551
2008-09-01,92903
2008-12-01,110954
2009-03-01,129682
2009-06-01,83257
2009-09-01,90910
2009-12-01,91250
2010-03-01,132417
2010-06-01,65461
2010-09-01,78885
2010-12-01,104320
2011-03-01,114690
2011-06-01,70327
2011-09-01,83070
2011-12-01,97935
2012-03-01,140227
2012-06-01,67406
2012-09-01,85236
2012-12-01,120508
2013-03-01,151034
2013-06-01,82554
2013-09-01,96171
2013-12-01,113472
2014-03-01,151324
2014-06-01,94001
2014-09-01,112765
2014-12-01,120644
2015-03-01,171059
2015-06-01,87765
