Date,完全失業率.女.季節調整値.%
2013-02-01,3.9
2013-03-01,3.6
2013-04-01,3.8
2013-05-01,3.9
2013-06-01,3.6
2013-07-01,3.3
2013-08-01,3.7
2013-09-01,3.5
2013-10-01,3.7
2013-11-01,3.7
2013-12-01,3.5
2014-01-01,3.5
2014-02-01,3.4
2014-03-01,3.4
2014-04-01,3.4
2014-05-01,3.4
2014-06-01,3.5
2014-07-01,3.6
2014-08-01,3.2
2014-09-01,3.4
2014-10-01,3.2
2014-11-01,3.1
2014-12-01,3.2
2015-01-01,3.3
2015-02-01,3.2
2015-03-01,3.1
2015-04-01,3.2
2015-05-01,3
2015-06-01,3.1
2015-07-01,3.2
