Date,DEXUSAL,MaxDate,Max,MinDate,Min
2005-06-01,0.029,2005-06-22,0.7792,2005-06-01,0.7498
2005-07-01,0.026,2005-07-22,0.7661,2005-07-07,0.7403
2005-08-01,-0.027,2005-08-04,0.7739,2005-08-30,0.7469
2005-09-01,-0.019,2005-09-09,0.7731,2005-09-27,0.7537
2005-10-01,-0.016,2005-10-04,0.763,2005-10-13,0.7468
2005-11-01,-0.018,2005-11-01,0.7451,2005-11-14,0.7267
2005-12-01,-0.031,2005-12-14,0.7567,2005-12-27,0.7261
2006-01-01,0.019,2006-01-31,0.7572,2006-01-03,0.7379
2006-02-01,-0.019,2006-02-02,0.7548,2006-02-22,0.7363
2006-03-01,-0.04,2006-03-02,0.7458,2006-03-27,0.7056
2006-04-01,0.042,2006-04-28,0.7593,2006-04-03,0.7177
2006-05-01,-0.027,2006-05-11,0.7781,2006-05-22,0.7509
2006-06-01,-0.024,2006-06-05,0.7527,2006-06-28,0.7284
2006-07-01,0.026,2006-07-31,0.7664,2006-07-05,0.7407
2006-08-01,-0.013,2006-08-16,0.7699,2006-08-25,0.7568
2006-09-01,-0.024,2006-09-05,0.7704,2006-09-29,0.7461
2006-10-01,0.031,2006-10-31,0.7743,2006-10-06,0.7434
2006-11-01,0.027,2006-11-30,0.7896,2006-11-13,0.7629
2006-12-01,-0.012,2006-12-01,0.7914,2006-12-18,0.7795
2007-01-01,-0.024,2007-01-02,0.796,2007-01-26,0.7724
2007-02-01,0.021,2007-02-27,0.7933,2007-02-12,0.7726
2007-03-01,0.038,2007-03-30,0.8104,2007-03-05,0.7728
2007-04-01,0.024,2007-04-17,0.8367,2007-04-03,0.8131
2007-05-01,-0.016,2007-05-15,0.8348,2007-05-25,0.819
2007-06-01,0.018,2007-06-29,0.8491,2007-06-01,0.8313
2007-07-01,-0.033,2007-07-24,0.8841,2007-07-30,0.8509
2007-08-01,-0.076,2007-08-08,0.8618,2007-08-16,0.786
2007-09-01,0.07,2007-09-28,0.8855,2007-09-03,0.8157
2007-10-01,0.049,2007-10-31,0.9271,2007-10-22,0.8785
2007-11-01,-0.067,2007-11-07,0.9369,2007-11-21,0.8698
2007-12-01,-0.031,2007-12-11,0.8867,2007-12-18,0.8557
2008-01-01,-0.033,2008-01-14,0.8981,2008-01-23,0.8654
2008-02-01,0.053,2008-02-28,0.9463,2008-02-13,0.8934
2008-03-01,-0.045,2008-03-13,0.9411,2008-03-20,0.8958
2008-04-01,0.042,2008-04-23,0.9488,2008-04-01,0.9067
2008-05-01,0.031,2008-05-21,0.9644,2008-05-01,0.9338
2008-06-01,0.027,2008-06-27,0.961,2008-06-12,0.9342
2008-07-01,-0.038,2008-07-15,0.9797,2008-07-31,0.9415
2008-08-01,-0.076,2008-08-01,0.9317,2008-08-27,0.8553
2008-09-01,0.061,2008-09-22,0.8441,2008-09-17,0.7831
2008-10-01,-0.186,2008-10-01,0.7937,2008-10-27,0.6073
2008-11-01,-0.081,2008-11-04,0.7005,2008-11-20,0.6191
2008-12-01,0.064,2008-12-18,0.6985,2008-12-05,0.6343
2009-01-01,-0.083,2009-01-07,0.7212,2009-01-30,0.638
2009-02-01,0.051,2009-02-09,0.6834,2009-02-02,0.632
2009-03-01,0.072,2009-03-26,0.7022,2009-03-02,0.6301
2009-04-01,0.038,2009-04-30,0.7317,2009-04-01,0.6941
2009-05-01,0.07,2009-05-29,0.7993,2009-05-01,0.729
2009-06-01,0.034,2009-06-11,0.8195,2009-06-08,0.7851
2009-07-01,0.059,2009-07-31,0.8339,2009-07-10,0.7751
2009-08-01,0.024,2009-08-31,0.8439,2009-08-18,0.8201
2009-09-01,0.052,2009-09-30,0.8824,2009-09-01,0.8306
2009-10-01,0.062,2009-10-21,0.9275,2009-10-02,0.8656
2009-11-01,0.038,2009-11-16,0.9369,2009-11-03,0.8985
2009-12-01,-0.049,2009-12-03,0.9265,2009-12-22,0.8777
2010-01-01,-0.043,2010-01-14,0.9306,2010-01-29,0.8873
2010-02-01,0.038,2010-02-16,0.8994,2010-02-05,0.8617
2010-03-01,0.023,2010-03-17,0.9225,2010-03-04,0.8997
2010-04-01,-0.019,2010-04-14,0.9359,2010-04-27,0.917
2010-05-01,-0.108,2010-05-03,0.9255,2010-05-25,0.8172
2010-06-01,0.063,2010-06-21,0.8818,2010-06-07,0.8192
2010-07-01,0.067,2010-07-30,0.9051,2010-07-01,0.838
2010-08-01,-0.036,2010-08-09,0.917,2010-08-25,0.8807
2010-09-01,0.062,2010-09-29,0.9714,2010-09-01,0.9093
2010-10-01,0.028,2010-10-14,0.9943,2010-10-04,0.9666
2010-11-01,-0.055,2010-11-04,1.0143,2010-11-29,0.9594
2010-12-01,0.048,2010-12-29,1.0153,2010-12-01,0.9675
2011-01-01,-0.033,2011-01-03,1.02,2011-01-20,0.9868
2011-02-01,-0.019,2011-02-08,1.0176,2011-02-16,0.9984
2011-03-01,0.054,2011-03-31,1.0358,2011-03-17,0.9823
2011-04-01,0.059,2011-04-29,1.0937,2011-04-05,1.0346
2011-05-01,-0.047,2011-05-02,1.097,2011-05-23,1.0496
2011-06-01,-0.03,2011-06-06,1.0737,2011-06-27,1.0439
2011-07-01,0.046,2011-07-27,1.1026,2011-07-18,1.0565
2011-08-01,-0.074,2011-08-01,1.093,2011-08-09,1.0192
2011-09-01,-0.101,2011-09-01,1.075,2011-09-30,0.9744
2011-10-01,0.125,2011-10-28,1.0707,2011-10-04,0.9453
2011-11-01,-0.068,2011-11-02,1.0366,2011-11-23,0.9686
2011-12-01,-0.039,2011-12-05,1.0298,2011-12-14,0.9904
2012-01-01,0.044,2012-01-26,1.0651,2012-01-09,1.0215
2012-02-01,-0.018,2012-02-09,1.0806,2012-02-22,1.0629
2012-03-01,-0.048,2012-03-01,1.0803,2012-03-29,1.0326
2012-04-01,0.019,2012-04-27,1.0447,2012-04-04,1.0255
2012-05-01,-0.064,2012-05-01,1.0345,2012-05-23,0.9709
2012-06-01,0.055,2012-06-29,1.0236,2012-06-01,0.9688
2012-07-01,0.039,2012-07-31,1.0522,2012-07-12,1.0131
2012-08-01,-0.029,2012-08-06,1.0591,2012-08-30,1.0301
2012-09-01,0.037,2012-09-14,1.0561,2012-09-05,1.0195
2012-10-01,0.021,2012-10-18,1.0397,2012-10-09,1.0188
2012-11-01,0.015,2012-11-28,1.047,2012-11-15,1.0315
2012-12-01,-0.021,2012-12-14,1.0555,2012-12-26,1.035
2013-01-01,-0.018,2013-01-10,1.0579,2013-01-28,1.0401
2013-02-01,-0.022,2013-02-04,1.0422,2013-02-27,1.0202
2013-03-01,0.032,2013-03-26,1.0484,2013-03-04,1.0164
2013-04-01,-0.031,2013-04-11,1.0564,2013-04-22,1.0255
2013-05-01,-0.071,2013-05-03,1.0313,2013-05-31,0.9608
2013-06-01,-0.06,2013-06-03,0.977,2013-06-28,0.9165
2013-07-01,-0.03,2013-07-23,0.9259,2013-07-31,0.8957
2013-08-01,0.029,2013-08-16,0.9193,2013-08-02,0.8901
2013-09-01,0.039,2013-09-19,0.9444,2013-09-03,0.9055
2013-10-01,0.034,2013-10-22,0.9705,2013-10-02,0.9366
2013-11-01,-0.045,2013-11-06,0.9518,2013-11-27,0.9072
2013-12-01,-0.029,2013-12-10,0.915,2013-12-19,0.8858
2014-01-01,-0.034,2014-01-13,0.9053,2014-01-24,0.8715
2014-02-01,0.027,2014-02-11,0.9045,2014-02-03,0.8777
2014-03-01,0.035,2014-03-31,0.9275,2014-03-03,0.8929
2014-04-01,0.02,2014-04-10,0.9424,2014-04-03,0.9219
2014-05-01,-0.017,2014-05-08,0.9382,2014-05-21,0.9215
2014-06-01,0.018,2014-06-12,0.943,2014-06-02,0.925
2014-07-01,-0.019,2014-07-01,0.9488,2014-07-31,0.9301
2014-08-01,0.009,2014-08-28,0.9352,2014-08-11,0.9263
2014-09-01,-0.064,2014-09-05,0.9376,2014-09-30,0.8737
2014-10-01,0.023,2014-10-29,0.8904,2014-10-03,0.8675
2014-11-01,-0.022,2014-11-14,0.8737,2014-11-25,0.852
2014-12-01,-0.042,2014-12-01,0.8521,2014-12-23,0.8097
2015-01-01,-0.045,2015-01-15,0.8212,2015-01-29,0.7758
2015-02-01,0.018,2015-02-25,0.7898,2015-02-11,0.7713
2015-03-01,0.029,2015-03-24,0.7869,2015-03-11,0.7582
2015-04-01,0.05,2015-04-29,0.8065,2015-04-02,0.7566
2015-05-01,0,2015-05-01,0.7813,2015-05-01,0.7813
