date,USD.CHF.correlation
2015-04-02,-0.374087871289495
2015-04-03,-0.512943674044958
2015-04-04,-0.649534993415339
2015-04-05,-0.759811614314031
2015-04-06,-0.825134417422251
2015-04-07,-0.858030561350761
2015-04-08,-0.87629701809319
2015-04-09,-0.886241874236638
2015-04-10,-0.862325759980111
2015-04-11,-0.79802875934659
2015-04-12,-0.719465607847007
2015-04-13,-0.631062623737669
2015-04-14,-0.527198614236132
2015-04-15,-0.424147118471432
2015-04-16,-0.311578524890672
2015-04-17,-0.210821398191973
2015-04-18,-0.131346957546167
2015-04-19,-0.0902927152466784
2015-04-20,-0.0583246848715293
2015-04-21,-0.0592966414478368
2015-04-22,-0.0353825688298313
2015-04-23,0.000978845903358118
2015-04-24,0.00208801586579477
2015-04-25,-0.0821740669924092
2015-04-26,-0.169409202129864
2015-04-27,-0.219379289245664
2015-04-28,-0.271626840383726
2015-04-29,-0.316532169979364
2015-04-30,-0.366522812328267
2015-05-01,-0.415450913328702
