week,対内.合計.ネット
2005年1月第2週,10363
2005年1月第3週,9627
2005年1月第4週,6312
2005年1月第5週,11755
2005年1月第6週,8551
2005年2月第2週,787
2005年2月第3週,676
2005年2月第4週,-3516
2005年2月第5週,-3898
2005年3月第2週,9740
2005年3月第3週,1842
2005年3月第4週,-6742
2005年3月第5週,-2896
2005年4月第2週,10441
2005年4月第3週,905
2005年4月第4週,8942
2005年4月第5週,3445
2005年5月第1週,-1222
2005年5月第2週,8598
2005年5月第3週,13033
2005年5月第4週,5369
2005年5月第5週,-2261
2005年6月第2週,7978
2005年6月第3週,-2192
2005年6月第4週,-6159
2005年6月第5週,5079
2005年7月第2週,2187
2005年7月第3週,6087
2005年7月第4週,-1754
2005年7月第5週,4502
2005年7月第6週,6070
2005年8月第2週,4050
2005年8月第3週,6515
2005年8月第4週,852
2005年8月第5週,4343
2005年9月第2週,5155
2005年9月第3週,4051
2005年9月第4週,-10769
2005年9月第5週,4083
2005年10月第2週,-4490
2005年10月第3週,964
2005年10月第4週,1634
2005年10月第5週,9952
2005年10月第6週,8139
2005年11月第2週,10582
2005年11月第3週,12311
2005年11月第4週,1498
2005年11月第5週,16478
2005年12月第2週,7295
2005年12月第3週,2820
2005年12月第4週,-4042
2005年12月第5週,-3663
2006年1月第1週,5504
2006年1月第2週,6034
2006年1月第3週,11676
2006年1月第4週,8438
2006年1月第5週,1239
2006年2月第2週,-9172
2006年2月第3週,-1473
2006年2月第4週,4309
2006年2月第5週,6266
2006年3月第2週,4627
2006年3月第3週,10121
2006年3月第4週,-3282
2006年3月第5週,-191
2006年4月第2週,5488
2006年4月第3週,5547
2006年4月第4週,3614
2006年4月第5週,-4700
2006年4月第6週,-1426
2006年5月第2週,16007
2006年5月第3週,6368
2006年5月第4週,19177
2006年5月第5週,13997
2006年6月第2週,6533
2006年6月第3週,11394
2006年6月第4週,-5161
2006年6月第5週,-10771
2006年7月第2週,4443
2006年7月第3週,45
2006年7月第4週,-386
2006年7月第5週,-2436
2006年7月第6週,-3242
2006年8月第2週,4084
2006年8月第3週,7487
2006年8月第4週,-1234
2006年8月第5週,1401
2006年9月第2週,-3570
2006年9月第3週,-566
2006年9月第4週,-6196
2006年9月第5週,6735
2006年10月第1週,-197
2006年10月第2週,2150
2006年10月第3週,2786
2006年10月第4週,1444
2006年10月第5週,3884
2006年11月第2週,6814
2006年11月第3週,20607
2006年11月第4週,7871
2006年11月第5週,1294
2006年12月第2週,10651
2006年12月第3週,15693
2006年12月第4週,-1709
2006年12月第5週,-6433
2006年12月第6週,470
2007年1月第2週,-839
2007年1月第3週,17882
2007年1月第4週,17406
2007年1月第5週,8499
2007年2月第2週,7223
2007年2月第3週,9121
2007年2月第4週,13589
2007年2月第5週,-4027
2007年3月第2週,-2633
2007年3月第3週,6186
2007年3月第4週,1844
2007年3月第5週,-6130
2007年4月第1週,-589
2007年4月第2週,-1610
2007年4月第3週,3219
2007年4月第4週,-575
2007年4月第5週,5317
2007年5月第2週,5353
2007年5月第3週,4198
2007年5月第4週,8147
2007年5月第5週,7849
2007年6月第2週,-4496
2007年6月第3週,-5268
2007年6月第4週,2603
2007年6月第5週,3857
2007年7月第1週,6113
2007年7月第2週,-3386
2007年7月第3週,10363
2007年7月第4週,-11123
2007年7月第5週,8861
2007年8月第2週,11975
2007年8月第3週,17046
2007年8月第4週,3304
2007年8月第5週,6307
2007年9月第2週,6598
2007年9月第3週,6706
2007年9月第4週,-16030
2007年9月第5週,12461
2007年9月第6週,-4489
2007年10月第2週,2187
2007年10月第3週,-490
2007年10月第4週,7233
2007年10月第5週,5415
2007年11月第2週,16622
2007年11月第3週,9679
2007年11月第4週,4231
2007年11月第5週,13366
2007年12月第2週,3980
2007年12月第3週,25044
2007年12月第4週,-6042
2007年12月第5週,2177
2007年12月第6週,1623
2008年1月第2週,959
2008年1月第3週,-9880
2008年1月第4週,-12645
2008年1月第5週,-1903
2008年2月第2週,6496
2008年2月第3週,3030
2008年2月第4週,-10950
2008年2月第5週,2750
2008年3月第2週,4549
2008年3月第3週,-8701
2008年3月第4週,-11446
2008年3月第5週,-12342
2008年3月第6週,29098
2008年4月第2週,6896
2008年4月第3週,6554
2008年4月第4週,1164
2008年4月第5週,-10260
2008年5月第2週,11859
2008年5月第3週,9644
2008年5月第4週,-2071
2008年5月第5週,15367
2008年6月第1週,16118
2008年6月第2週,6720
2008年6月第3週,-16814
2008年6月第4週,3455
2008年6月第5週,21762
2008年7月第2週,-11473
2008年7月第3週,11092
2008年7月第4週,-5648
2008年7月第5週,1263
2008年8月第2週,13271
2008年8月第3週,-4486
2008年8月第4週,1925
2008年8月第5週,7837
2008年8月第6週,-7107
2008年9月第2週,-3244
2008年9月第3週,-1574
2008年9月第4週,-19221
2008年9月第5週,-7581
2008年10月第2週,-16160
2008年10月第3週,-1137
2008年10月第4週,-1808
2008年10月第5週,-10471
2008年11月第2週,-5892
2008年11月第3週,-5868
2008年11月第4週,-14993
2008年11月第5週,-8326
2008年11月第6週,-4646
2008年12月第2週,-6827
2008年12月第3週,-11804
2008年12月第4週,-36295
2008年12月第5週,1737
2009年1月第2週,14257
2009年1月第3週,-24987
2009年1月第4週,-4155
2009年1月第5週,-4457
2009年2月第1週,339
2009年2月第2週,-1141
2009年2月第3週,-2210
2009年2月第4週,11648
2009年3月第1週,-5105
2009年3月第2週,-3280
2009年3月第3週,-8264
2009年3月第4週,-22828
2009年3月第5週,9979
2009年4月第2週,-11078
2009年4月第3週,732
2009年4月第4週,2099
2009年4月第5週,4161
2009年5月第2週,-4303
2009年5月第3週,5740
2009年5月第4週,-8037
2009年5月第5週,3187
2009年5月第6週,4923
2009年6月第2週,-377
2009年6月第3週,-9755
2009年6月第4週,-9209
2009年6月第5週,9700
2009年7月第2週,-4938
2009年7月第3週,8391
2009年7月第4週,-1146
2009年7月第5週,-4983
