Date,Area,Exports Value Index,Exports Quantum Index,Exports Unit Value,Imports Value Index,Imports Quantum Index,Imports Unit Value,Exports Value Index Percent Change,Exports Quantum Index Percent Change,Exports Unit Value Percent Change,Imports Value Index Percent Change,Imports Quantum Index Percent Change,Imports Unit Value Percent Change
2009-01-01,WORLD,61.9,60.8,101.8,87.8,93.2,94.2,-45.7,-40.9,-8.1,-31.8,-11.8,-22.7
2009-02-01,WORLD,62.8,62.4,100.7,68.3,71.7,95.2,-49.4,-45.3,-7.4,-42.7,-25.2,-23.4
2009-03-01,WORLD,74.5,73.8,101,82.7,84.9,97.4,-45.5,-41.2,-7.4,-36.4,-20.4,-20.1
2009-04-01,WORLD,74.7,74.3,100.6,81.9,84.3,97.1,-39.1,-35.8,-5.1,-35.5,-20.2,-19.2
2009-05-01,WORLD,71.6,70.9,100.9,73.8,76.6,96.4,-40.9,-36.2,-7.5,-42.2,-23.9,-24
2009-06-01,WORLD,81.8,81.6,100.2,81.1,84.5,96,-35.8,-27.7,-11.1,-41.7,-18.1,-28.8
2009-07-01,WORLD,86.2,86,100.3,88.4,90.2,98,-36.5,-27.6,-12.3,-40.6,-14.9,-30.3
2009-08-01,WORLD,80.3,81.9,98,85.8,87.1,98.5,-36,-25.3,-14.3,-41,-12.8,-32.4
2009-09-01,WORLD,91,90.7,100.3,90.7,92.7,97.8,-30.6,-21.8,-11.2,-36.8,-10.1,-29.8
2009-10-01,WORLD,94.5,97.8,96.6,89,94.6,94.1,-23.2,-12.9,-11.8,-35.5,-11.7,-27
2009-11-01,WORLD,88.8,89,99.8,91.3,94.7,96.4,-6.3,-1.5,-4.8,-16.7,-2,-15
2009-12-01,WORLD,96.4,97.9,98.4,96.2,98.7,97.4,12,14.7,-2.3,-5.5,-0.8,-4.8
2010-01-01,WORLD,87.3,85.8,101.7,95.9,95.7,100.3,40.9,41,-0.1,9.3,2.6,6.4
2010-02-01,WORLD,91.3,90.2,101.2,88.6,89.3,99.3,45.3,44.5,0.5,29.8,24.5,4.3
2010-03-01,WORLD,106.8,106.5,100.3,100.1,100.1,100,43.4,44.5,-0.7,21,17.9,2.7
2010-04-01,WORLD,104.9,102.4,102.4,101.9,100.5,101.4,40.4,37.8,1.9,24.5,19.2,4.4
2010-05-01,WORLD,94.5,92,102.7,98.7,93.9,105.1,32.1,29.8,1.8,33.7,22.6,9.1
2010-06-01,WORLD,104.5,103.9,100.5,102.6,99.8,102.8,27.7,27.3,0.3,26.5,18.2,7
2010-07-01,WORLD,106.5,107.3,99.3,102.6,102.1,100.6,23.5,24.8,-1,16.1,13.1,2.6
2010-08-01,WORLD,92.8,92.3,100.5,101.6,103.5,98.2,15.5,12.7,2.5,18.4,18.8,-0.3
2010-09-01,WORLD,104,106.8,97.4,100,102.4,97.7,14.3,17.7,-2.9,10.3,10.4,-0.1
2010-10-01,WORLD,101.9,104.2,97.7,97,99.2,97.7,7.8,6.6,1.1,8.9,4.8,3.9
2010-11-01,WORLD,96.9,99.2,97.7,104.3,107.9,96.7,9.1,11.4,-2.1,14.3,13.8,0.4
2010-12-01,WORLD,108.8,110,98.9,106.5,105.9,100.5,12.9,12.4,0.5,10.7,7.3,3.2
2011-01-01,WORLD,88.5,87.7,100.9,108,104.4,103.4,1.4,2.2,-0.8,12.5,9.1,3.1
2011-02-01,WORLD,99.5,99.7,99.8,97.8,91.7,106.7,9,10.6,-1.5,10.3,2.7,7.4
2011-03-01,WORLD,104.3,102.9,101.4,112.3,104.3,107.6,-2.4,-3.4,1.1,12.2,4.2,7.7
2011-04-01,WORLD,91.8,89.9,102.1,111.3,100.1,111.1,-12.4,-12.2,-0.3,9.2,-0.4,9.6
2011-05-01,WORLD,84.7,82.9,102.2,111,98.8,112.3,-10.3,-9.9,-0.5,12.4,5.2,6.9
2011-06-01,WORLD,102.8,100.1,102.7,112.8,100.8,111.9,-1.6,-3.7,2.2,9.9,0.9,8.8
2011-07-01,WORLD,102.9,100.1,102.9,112.8,99.7,113.2,-3.3,-6.7,3.6,9.9,-2.3,12.5
2011-08-01,WORLD,95.4,93.9,101.6,121.1,109.5,110.6,2.8,1.8,1,19.2,5.8,12.6
