Date,他の光熱
2013-02-01,132.9
2013-03-01,131.8
2013-04-01,129
2013-05-01,127.4
2013-06-01,127.1
2013-07-01,128.1
2013-08-01,130.4
2013-09-01,131.6
2013-10-01,131.7
2013-11-01,133.2
2013-12-01,134.6
2014-01-01,137.2
2014-02-01,136.2
2014-03-01,135.4
2014-04-01,139.2
2014-05-01,139.9
2014-06-01,140
2014-07-01,141
2014-08-01,141.1
2014-09-01,140.8
2014-10-01,139.7
2014-11-01,135.3
2014-12-01,130.1
2015-01-01,116.2
2015-02-01,106.7
2015-03-01,109.6
2015-04-01,109.2
2015-05-01,109.6
2015-06-01,110.4
2015-07-01,110.8
