Date,マネタリーベース平均残高（前年比）
2010-01-01,4.9
2010-02-01,2.2
2010-03-01,2.1
2010-04-01,2.9
2010-05-01,3.7
2010-06-01,3.6
2010-07-01,6.1
2010-08-01,5.4
2010-09-01,5.8
2010-10-01,6.4
2010-11-01,7.6
2010-12-01,7
2011-01-01,5.5
2011-02-01,5.6
2011-03-01,16.9
2011-04-01,23.9
2011-05-01,16.2
2011-06-01,17
2011-07-01,15
2011-08-01,15.9
2011-09-01,16.7
2011-10-01,17
2011-11-01,19.5
2011-12-01,13.5
2012-01-01,15
2012-02-01,11.3
2012-03-01,-0.2
2012-04-01,-0.3
2012-05-01,2.4
2012-06-01,5.9
2012-07-01,8.6
2012-08-01,6.5
2012-09-01,9
2012-10-01,10.8
2012-11-01,5
2012-12-01,11.8
2013-01-01,10.9
2013-02-01,15
2013-03-01,19.8
2013-04-01,23.1
2013-05-01,31.6
2013-06-01,36
2013-07-01,38
2013-08-01,42
2013-09-01,46.1
2013-10-01,45.8
2013-11-01,52.5
2013-12-01,46.6
2014-01-01,51.9
2014-02-01,55.7
2014-03-01,54.8
2014-04-01,48.5
2014-05-01,45.6
2014-06-01,42.6
2014-07-01,42.7
2014-08-01,40.5
2014-09-01,35.3
2014-10-01,36.9
2014-11-01,36.7
2014-12-01,38.2
2015-01-01,37.4
2015-02-01,36.7
2015-03-01,35.2
2015-04-01,35.2
2015-05-01,35.6
2015-06-01,34.2
2015-07-01,32.8
2015-08-01,33.3
2015-09-01,35.1
2015-10-01,32.5
2015-11-01,32.5
2015-12-01,29.5
