week,対外.合計.ネット
2009年12月第5週,-1022
2010年1月第2週,-8381
2010年1月第3週,-1475
2010年1月第4週,6153
2010年1月第5週,9654
2010年1月第6週,1928
2010年2月第2週,5792
2010年2月第3週,4104
2010年2月第4週,-240
2010年2月第5週,7669
2010年3月第2週,764
2010年3月第3週,-636
2010年3月第4週,-2053
2010年3月第5週,3954
2010年4月第2週,4299
2010年4月第3週,3979
2010年4月第4週,503
2010年4月第5週,-785
2010年5月第2週,-15366
2010年5月第3週,7606
2010年5月第4週,14093
2010年5月第5週,13817
2010年5月第6週,14724
2010年6月第2週,8143
2010年6月第3週,2521
2010年6月第4週,8393
2010年6月第5週,11939
2010年7月第2週,8407
2010年7月第3週,13724
2010年7月第4週,10878
2010年7月第5週,13047
2010年8月第1週,10079
2010年8月第2週,22445
2010年8月第3週,11396
2010年8月第4週,2261
2010年8月第5週,9977
2010年9月第2週,1893
2010年9月第3週,6659
2010年9月第4週,9853
2010年9月第5週,5574
2010年10月第2週,-551
2010年10月第3週,9024
2010年10月第4週,6621
2010年10月第5週,6120
2010年10月第6週,4355
2010年11月第2週,7513
2010年11月第3週,-11979
2010年11月第4週,-6010
2010年11月第5週,-7373
2010年12月第2週,-3001
2010年12月第3週,-1497
2010年12月第4週,79
2010年12月第5週,5769
2011年1月第2週,5508
2011年1月第3週,6701
2011年1月第4週,2060
2011年1月第5週,-1519
2011年1月第6週,3790
2011年2月第2週,-1019
2011年2月第3週,-717
2011年2月第4週,3093
2011年2月第5週,-2585
2011年3月第2週,7721
2011年3月第3週,2750
2011年3月第4週,9210
2011年3月第5週,-12355
2011年4月第2週,169
2011年4月第3週,-1123
2011年4月第4週,-1624
2011年4月第5週,6352
2011年5月第1週,-6943
2011年5月第2週,-1333
2011年5月第3週,5150
2011年5月第4週,1625
2011年5月第5週,-10702
2011年6月第2週,2891
2011年6月第3週,2713
2011年6月第4週,3457
2011年6月第5週,2529
2011年7月第2週,-1619
2011年7月第3週,2322
2011年7月第4週,-891
2011年7月第5週,3835
2011年7月第6週,-1882
2011年8月第2週,-2430
2011年8月第3週,422
2011年8月第4週,1309
2011年8月第5週,13322
2011年9月第2週,-4273
2011年9月第3週,2926
2011年9月第4週,14972
2011年9月第5週,10655
2011年10月第2週,-21100
2011年10月第3週,4181
2011年10月第4週,9768
2011年10月第5週,9839
2011年10月第6週,-18054
2011年11月第2週,-3050
2011年11月第3週,9656
2011年11月第4週,-1050
2011年11月第5週,2021
2011年12月第2週,3052
2011年12月第3週,-707
2011年12月第4週,1071
2011年12月第5週,-2161
2012年1月第1週,3332
2012年1月第2週,8783
2012年1月第3週,2443
2012年1月第4週,10637
2012年1月第5週,1305
2012年2月第2週,10062
2012年2月第3週,-1419
2012年2月第4週,13106
2012年2月第5週,2122
2012年3月第2週,3498
2012年3月第3週,-8205
2012年3月第4週,1685
2012年3月第5週,4810
2012年4月第1週,-20075
2012年4月第2週,1151
2012年4月第3週,-11363
2012年4月第4週,3079
2012年4月第5週,700
2012年5月第2週,12048
2012年5月第3週,2498
2012年5月第4週,-3409
2012年5月第5週,8106
2012年6月第2週,-1445
2012年6月第3週,1337
2012年6月第4週,8820
2012年6月第5週,13055
2012年7月第1週,3920
2012年7月第2週,11303
2012年7月第3週,1660
2012年7月第4週,-240
2012年7月第5週,4230
2012年8月第2週,1267
2012年8月第3週,-8881
2012年8月第4週,10113
2012年8月第5週,9110
2012年9月第2週,7347
2012年9月第3週,-2147
2012年9月第4週,-1668
2012年9月第5週,15726
2012年9月第6週,-2168
2012年10月第2週,6967
2012年10月第3週,5557
2012年10月第4週,1777
2012年10月第5週,135
2012年11月第2週,3244
2012年11月第3週,3824
2012年11月第4週,190
2012年11月第5週,4721
2012年12月第2週,-7738
2012年12月第3週,8197
2012年12月第4週,988
2012年12月第5週,-1950
2012年12月第6週,-3680
2013年1月第2週,1814
2013年1月第3週,-2330
2013年1月第4週,3427
2013年1月第5週,-7154
2013年2月第2週,-9142
2013年2月第3週,-10213
2013年2月第4週,-7814
2013年2月第5週,-13480
2013年3月第2週,4197
2013年3月第3週,-9818
2013年3月第4週,-11985
2013年3月第5週,-3435
2013年3月第6週,-10579
2013年4月第2週,-5491
2013年4月第3週,-9338
2013年4月第4週,1805
2013年4月第5週,2696
2013年5月第2週,2050
2013年5月第3週,-10446
2013年5月第4週,-12253
2013年5月第5週,-12500
2013年6月第2週,-5621
2013年6月第3週,-5076
2013年6月第4週,-11199
2013年6月第5週,-10149
2013年6月第6週,9904
2013年7月第2週,10412
2013年7月第3週,5895
2013年7月第4週,1234
2013年7月第5週,6034
2013年8月第2週,14825
2013年8月第3週,-8740
2013年8月第4週,-3010
2013年8月第5週,-5297
2013年9月第1週,-256
2013年9月第2週,8597
2013年9月第3週,245
2013年9月第4週,5607
2013年9月第5週,-22164
2013年10月第2週,4677
2013年10月第3週,14055
2013年10月第4週,7873
2013年10月第5週,2597
2013年11月第2週,2820
2013年11月第3週,2582
2013年11月第4週,12679
2013年11月第5週,37
2013年12月第1週,2414
2013年12月第2週,-283
2013年12月第3週,-8371
2013年12月第4週,560
2013年12月第5週,-4588
2014年1月第2週,-3058
2014年1月第3週,-2569
2014年1月第4週,-4565
2014年1月第5週,-18736
2014年2月第2週,-8279
2014年2月第3週,5563
2014年2月第4週,3860
2014年2月第5週,-7636
2014年3月第2週,-7076
2014年3月第3週,68
2014年3月第4週,-4273
2014年3月第5週,-7218
2014年3月第6週,-3818
2014年4月第2週,1636
2014年4月第3週,-2216
2014年4月第4週,1259
2014年4月第5週,8879
2014年5月第2週,2072
2014年5月第3週,16147
2014年5月第4週,571
2014年5月第5週,-5215
2014年6月第1週,14593
2014年6月第2週,5540
2014年6月第3週,15674
2014年6月第4週,-9442
2014年6月第5週,-1664
2014年7月第2週,7272
2014年7月第3週,3809
2014年7月第4週,-2523
2014年7月第5週,11624
2014年8月第2週,4802
2014年8月第3週,10777
2014年8月第4週,-3550
2014年8月第5週,4864
2014年8月第6週,10667
2014年9月第2週,-1740
2014年9月第3週,9455
2014年9月第4週,4218
2014年9月第5週,2228
2014年10月第2週,7809
2014年10月第3週,-8059
2014年10月第4週,2293
2014年10月第5週,10962
2014年11月第2週,8865
2014年11月第3週,2476
2014年11月第4週,1575
2014年11月第5週,1565
2014年11月第6週,-7350
2014年12月第2週,-4211
2014年12月第3週,-9210
2014年12月第4週,914
2014年12月第5週,1535
2015年1月第2週,6231
2015年1月第3週,2619
2015年1月第4週,7112
2015年1月第5週,13156
2015年2月第1週,5191
2015年2月第2週,5931
2015年2月第3週,4160
2015年2月第4週,11471
2015年3月第1週,6900
2015年3月第2週,10772
2015年3月第3週,10658
2015年3月第4週,14283
2015年3月第5週,-27423
2015年4月第2週,5242
2015年4月第3週,8394
2015年4月第4週,5226
2015年4月第5週,-1687
2015年5月第2週,5832
2015年5月第3週,11837
2015年5月第4週,11967
2015年5月第5週,-1055
2015年5月第6週,-2961
2015年6月第2週,-16859
2015年6月第3週,-5329
2015年6月第4週,1267
2015年6月第5週,6484
2015年7月第2週,4397
2015年7月第3週,9376
2015年7月第4週,1734
2015年7月第5週,2807
2015年8月第2週,1539
2015年8月第3週,8727
2015年8月第4週,608
2015年8月第5週,14720
2015年8月第6週,20466
2015年9月第2週,8738
2015年9月第3週,12205
2015年9月第4週,9964
2015年9月第5週,-855
2015年10月第2週,11814
2015年10月第3週,6981
2015年10月第4週,6192
2015年10月第5週,9407
2015年11月第1週,11218
