Date,生産用機械器具製造業
2008-03-01,558202
2008-06-01,394345
2008-09-01,472187
2008-12-01,325441
2009-03-01,418743
2009-06-01,145267
2009-09-01,140158
2009-12-01,132358
2010-03-01,149040
2010-06-01,131799
2010-09-01,138251
2010-12-01,142610
2011-03-01,168293
2011-06-01,118010
2011-09-01,172687
2011-12-01,153533
2012-03-01,282646
2012-06-01,183287
2012-09-01,186232
2012-12-01,221474
2013-03-01,204235
2013-06-01,161040
2013-09-01,164999
2013-12-01,165662
2014-03-01,243156
2014-06-01,157057
2014-09-01,189744
2014-12-01,161042
2015-03-01,241801
2015-06-01,146392
