Date,乗用車
2010-01-01,99906
2010-02-01,125212
2010-03-01,177511
2010-04-01,97968
2010-05-01,93488
2010-06-01,111237
2010-07-01,113196
2010-08-01,101433
2010-09-01,122380
2010-10-01,79852
2010-11-01,80269
2010-12-01,82213
2011-01-01,91505
2011-02-01,114343
2011-03-01,119790
2011-04-01,56401
2011-05-01,71916
2011-06-01,92348
2011-07-01,97570
2011-08-01,84621
2011-09-01,111670
2011-10-01,100507
2011-11-01,102611
2011-12-01,95470
2012-01-01,119578
2012-02-01,147494
2012-03-01,197189
2012-04-01,119225
2012-05-01,127158
2012-06-01,149837
2012-07-01,149658
2012-08-01,110778
2012-09-01,125550
2012-10-01,102868
2012-11-01,110660
2012-12-01,97686
2013-01-01,125521
2013-02-01,151270
2013-03-01,200988
2013-04-01,120937
2013-05-01,116460
2013-06-01,145530
2013-07-01,152038
2013-08-01,121824
2013-09-01,161895
2013-10-01,121574
2013-11-01,136099
2013-12-01,136035
2014-01-01,169338
2014-02-01,190502
2014-03-01,248849
2014-04-01,127339
2014-05-01,125717
2014-06-01,150205
2014-07-01,140687
2014-08-01,103576
2014-09-01,163388
2014-10-01,121646
2014-11-01,135933
2014-12-01,161939
2015-01-01,136405
2015-02-01,163627
2015-03-01,230385
2015-04-01,93134
2015-05-01,98660
2015-06-01,125348
2015-07-01,110212
2015-08-01,90536
2015-09-01,139947
