Date,被保護実人員
2013-07-01,2158884
2013-08-01,2159865
2013-09-01,2159820
2013-10-01,2164408
2013-11-01,2164943
2013-12-01,2167290
2014-01-01,2168008
2014-02-01,2166446
2014-03-01,2170868
2014-04-01,2159847
2014-05-01,2159852
2014-06-01,2158840
2014-07-01,2163716
2014-08-01,2163152
2014-09-01,2164909
2014-10-01,2168393
2014-11-01,2166773
2014-12-01,2170161
2015-01-01,2170242
2015-02-01,2169165
2015-03-01,2174331
2015-04-01,2163414
2015-05-01,2161442
2015-06-01,2163128
2015-07-01,2165278
