Date,総数.正規の職員・従業員
2013-02-01,3273
2013-03-01,3255
2013-04-01,3328
2013-05-01,3323
2013-06-01,3326
2013-07-01,3313
2013-08-01,3309
2013-09-01,3291
2013-10-01,3291
2013-11-01,3310
2013-12-01,3273
2014-01-01,3242
2014-02-01,3219
2014-03-01,3233
2014-04-01,3288
2014-05-01,3324
2014-06-01,3324
2014-07-01,3307
2014-08-01,3305
2014-09-01,3327
2014-10-01,3298
2014-11-01,3281
2014-12-01,3291
2015-01-01,3273
2015-02-01,3277
2015-03-01,3271
2015-04-01,3294
2015-05-01,3331
2015-06-01,3345
2015-07-01,3336
