Date,マネタリーベース平均残高／うち 日本銀行券発行高(兆円)
1970-01-01,3.9944
1970-02-01,3.6741
1970-03-01,3.8554
1970-04-01,3.8362
1970-05-01,3.7895
1970-06-01,3.9234
1970-07-01,4.1504
1970-08-01,4.1196
1970-09-01,3.9295
1970-10-01,3.9775
1970-11-01,4.0136
1970-12-01,5.1548
1971-01-01,4.6204
1971-02-01,4.2782
1971-03-01,4.4522
1971-04-01,4.4577
1971-05-01,4.4126
1971-06-01,4.5429
1971-07-01,4.8425
1971-08-01,4.7833
1971-09-01,4.5871
1971-10-01,4.6302
1971-11-01,4.6173
1971-12-01,5.918
1972-01-01,5.3188
1972-02-01,4.9295
1972-03-01,5.1356
1972-04-01,5.157
1972-05-01,5.0973
1972-06-01,5.3419
1972-07-01,5.6944
1972-08-01,5.6199
1972-09-01,5.4778
1972-10-01,5.5929
1972-11-01,5.665
1972-12-01,7.3257
1973-01-01,6.7129
1973-02-01,6.2154
1973-03-01,6.5387
1973-04-01,6.5772
1973-05-01,6.5212
1973-06-01,6.8087
1973-07-01,7.262
1973-08-01,7.1736
1973-09-01,6.965
1973-10-01,7.055
1973-11-01,7.1751
1973-12-01,9.1841
1974-01-01,8.26
1974-02-01,7.5688
1974-03-01,7.8512
1974-04-01,7.8337
1974-05-01,7.9073
1974-06-01,8.3055
1974-07-01,8.8589
1974-08-01,8.7276
1974-09-01,8.3792
1974-10-01,8.3685
1974-11-01,8.4366
1974-12-01,10.7473
1975-01-01,9.7676
1975-02-01,8.9443
1975-03-01,9.2949
1975-04-01,9.1697
1975-05-01,9.0805
1975-06-01,9.4071
1975-07-01,9.8104
1975-08-01,9.7601
1975-09-01,9.3208
1975-10-01,9.34
1975-11-01,9.38
1975-12-01,11.7566
1976-01-01,10.7291
1976-02-01,9.9351
1976-03-01,10.2599
1976-04-01,10.225
1976-05-01,10.1871
1976-06-01,10.4077
1976-07-01,10.929
1976-08-01,10.7682
1976-09-01,10.3434
1976-10-01,10.467
1976-11-01,10.4665
1976-12-01,13.0861
1977-01-01,11.8306
1977-02-01,10.9747
1977-03-01,11.3544
1977-04-01,11.2257
1977-05-01,11.0392
1977-06-01,11.3309
1977-07-01,11.9439
1977-08-01,11.7265
1977-09-01,11.2977
1977-10-01,11.2666
1977-11-01,11.3112
1977-12-01,14.128
1978-01-01,12.8013
1978-02-01,11.8496
1978-03-01,12.3325
1978-04-01,12.3188
1978-05-01,12.0364
1978-06-01,12.4334
1978-07-01,13.0126
1978-08-01,12.9571
1978-09-01,12.472
1978-10-01,12.5278
1978-11-01,12.6634
1978-12-01,15.6906
1979-01-01,14.3793
1979-02-01,13.2536
1979-03-01,13.7769
1979-04-01,13.8954
1979-05-01,13.7482
1979-06-01,13.9499
1979-07-01,14.4416
1979-08-01,14.4608
1979-09-01,13.9315
1979-10-01,13.884
1979-11-01,14.045
1979-12-01,17.1738
1980-01-01,15.715
1980-02-01,14.5454
1980-03-01,15.2116
1980-04-01,15.2833
1980-05-01,14.8682
1980-06-01,15.1108
1980-07-01,15.4078
1980-08-01,15.2784
1980-09-01,14.5469
1980-10-01,14.5225
1980-11-01,14.7414
1980-12-01,17.7458
1981-01-01,16.2167
1981-02-01,14.9177
1981-03-01,15.5219
1981-04-01,15.3879
1981-05-01,15.287
1981-06-01,15.5557
1981-07-01,16.066
1981-08-01,16.0449
1981-09-01,15.3301
1981-10-01,15.3628
1981-11-01,15.5816
1981-12-01,18.9522
1982-01-01,17.0058
1982-02-01,15.8631
1982-03-01,16.5114
1982-04-01,16.5628
1982-05-01,16.4473
1982-06-01,16.5907
1982-07-01,17.1772
1982-08-01,17.1675
1982-09-01,16.4803
1982-10-01,16.5972
1982-11-01,16.7272
1982-12-01,20.1178
1983-01-01,18.1899
1983-02-01,17.0822
1983-03-01,17.7135
1983-04-01,17.6417
1983-05-01,17.3034
1983-06-01,17.4383
1983-07-01,18.0388
1983-08-01,17.992
1983-09-01,17.2869
1983-10-01,17.355
1983-11-01,17.3301
1983-12-01,20.8807
1984-01-01,18.9067
1984-02-01,17.6585
1984-03-01,18.2581
1984-04-01,18.2787
1984-05-01,17.893
1984-06-01,17.9613
1984-07-01,18.8902
1984-08-01,18.5916
1984-09-01,18.0727
1984-10-01,17.988
1984-11-01,18.4929
1984-12-01,22.0192
1985-01-01,20.3262
1985-02-01,18.8356
1985-03-01,19.4962
1985-04-01,19.4124
1985-05-01,19.0854
1985-06-01,19.0491
1985-07-01,20.0171
1985-08-01,19.7023
1985-09-01,19.0941
1985-10-01,19.0626
1985-11-01,19.3681
1985-12-01,23.179
1986-01-01,21.464
1986-02-01,19.9754
1986-03-01,20.6135
1986-04-01,20.566
1986-05-01,20.398
1986-06-01,20.4455
1986-07-01,21.5502
1986-08-01,21.5396
1986-09-01,20.7914
1986-10-01,20.8057
1986-11-01,21.2695
1986-12-01,24.7212
1987-01-01,23.3024
1987-02-01,22.0023
1987-03-01,22.8214
1987-04-01,22.7551
1987-05-01,22.7661
1987-06-01,22.562
1987-07-01,23.7295
1987-08-01,23.704
1987-09-01,22.9599
1987-10-01,23.0813
1987-11-01,23.4617
1987-12-01,27.1854
1988-01-01,25.5024
1988-02-01,24.455
1988-03-01,25.4766
1988-04-01,25.6421
1988-05-01,25.6788
1988-06-01,25.1269
1988-07-01,26.4287
1988-08-01,26.0826
1988-09-01,25.2873
1988-10-01,25.4271
1988-11-01,25.6534
1988-12-01,29.8143
1989-01-01,28.2531
1989-02-01,27.3709
1989-03-01,28.1875
1989-04-01,28.1739
1989-05-01,28.3167
1989-06-01,27.8641
1989-07-01,29.3061
1989-08-01,29.0048
1989-09-01,28.2604
1989-10-01,28.2849
1989-11-01,28.6838
1989-12-01,33.2852
1990-01-01,32.0103
1990-02-01,30.1496
1990-03-01,30.8935
1990-04-01,32.2436
1990-05-01,30.9964
1990-06-01,30.1889
1990-07-01,31.6978
1990-08-01,31.1538
1990-09-01,30.4257
1990-10-01,30.383
1990-11-01,30.4495
1990-12-01,35.2692
1991-01-01,33.5522
1991-02-01,31.1071
1991-03-01,31.869
1991-04-01,31.6982
1991-05-01,31.3897
1991-06-01,31.0436
1991-07-01,32.3718
1991-08-01,31.654
1991-09-01,30.803
1991-10-01,30.8288
1991-11-01,31.0508
1991-12-01,35.7782
1992-01-01,34.1691
1992-02-01,31.7856
1992-03-01,32.414
1992-04-01,32.1026
1992-05-01,32.0734
1992-06-01,31.545
1992-07-01,33.0888
1992-08-01,32.7401
1992-09-01,31.5945
1992-10-01,31.7504
1992-11-01,31.9842
1992-12-01,36.4992
1993-01-01,34.5892
1993-02-01,32.8419
1993-03-01,33.3475
1993-04-01,33.462
1993-05-01,33.6014
1993-06-01,32.7692
1993-07-01,34.3955
1993-08-01,33.851
1993-09-01,32.8791
1993-10-01,33.1745
1993-11-01,33.2342
1993-12-01,37.8985
1994-01-01,36.1172
1994-02-01,34.3459
1994-03-01,34.9854
1994-04-01,34.9809
1994-05-01,35.0284
1994-06-01,34.1655
1994-07-01,36.079
1994-08-01,35.5575
1994-09-01,35.2498
1994-10-01,34.9504
1994-11-01,34.7979
1994-12-01,39.5025
1995-01-01,37.9828
1995-02-01,35.8868
1995-03-01,36.51
1995-04-01,36.5225
1995-05-01,36.5414
1995-06-01,35.8936
1995-07-01,37.6375
1995-08-01,37.1702
1995-09-01,36.9267
1995-10-01,37.332
1995-11-01,37.7287
1995-12-01,42.0884
1996-01-01,41.2043
1996-02-01,39.3051
1996-03-01,40.168
1996-04-01,40.1209
1996-05-01,40.0055
1996-06-01,39.7004
1996-07-01,40.9924
1996-08-01,40.6779
1996-09-01,40.1439
1996-10-01,40.3
1996-11-01,40.7197
1996-12-01,45.4145
1997-01-01,44.6171
1997-02-01,42.3087
1997-03-01,43.3759
1997-04-01,43.0806
1997-05-01,42.9709
