Date,45-54歳.正規の職員・従業員
2013-02-01,765
2013-03-01,762
2013-04-01,762
2013-05-01,757
2013-06-01,762
2013-07-01,761
2013-08-01,764
2013-09-01,766
2013-10-01,767
2013-11-01,776
2013-12-01,779
2014-01-01,759
2014-02-01,757
2014-03-01,758
2014-04-01,769
2014-05-01,781
2014-06-01,785
2014-07-01,771
2014-08-01,773
2014-09-01,785
2014-10-01,787
2014-11-01,785
2014-12-01,787
2015-01-01,784
2015-02-01,786
2015-03-01,786
2015-04-01,800
2015-05-01,808
2015-06-01,797
2015-07-01,800
