USD/JPY,NIKKEI,Date
120.0481,19083.1,2015/10/1
122.6432,19747.47,2015/11/1
121.635,19033.71,2015/12/1
118.2258,17518.3,2016/1/1
114.6155,16026.76,2016/2/1
112.9317,16758.67,2016/3/1
109.5519,16666.05,2016/4/1
108.8481,17234.98,2016/5/1
105.3509,15575.92,2016/6/1
102.55,15106.98,2016/7/1
