date,STI.Close.correlation
2015-03-19,-0.785732054522495
2015-03-20,-0.78690975107453
2015-03-23,-0.743085525690706
2015-03-24,-0.712280069279166
2015-03-25,-0.635160642803179
2015-03-26,-0.498999982289348
2015-03-27,-0.348427657517863
2015-03-30,-0.190275205848417
2015-03-31,-0.0649238065305289
2015-04-01,0.0254081082484251
2015-04-02,0.1633510720181
2015-04-06,0.290656174664767
2015-04-07,0.392554938716592
2015-04-08,0.512126558012688
2015-04-09,0.630435490717649
2015-04-10,0.715703905979698
2015-04-13,0.757275298719522
2015-04-14,0.793863055794598
2015-04-15,0.84444499235294
2015-04-16,0.885176942198313
2015-04-17,0.904769498991777
2015-04-20,0.933521644322143
2015-04-21,0.949682890912712
2015-04-22,0.953147866297625
2015-04-23,0.947694540921089
2015-04-24,0.942461682684219
2015-04-27,0.93522528772216
2015-04-28,0.913856604097699
2015-04-29,0.882409604001939
2015-04-30,0.851110845426799
