Date,教科書・学習参考教材
2013-02-01,102.6
2013-03-01,102.6
2013-04-01,106.5
2013-05-01,106.5
2013-06-01,106.5
2013-07-01,106.5
2013-08-01,106.5
2013-09-01,106.5
2013-10-01,106.5
2013-11-01,106.5
2013-12-01,106.5
2014-01-01,106.5
2014-02-01,106.5
2014-03-01,106.5
2014-04-01,108.3
2014-05-01,108.3
2014-06-01,108.3
2014-07-01,108.3
2014-08-01,108.3
2014-09-01,108.3
2014-10-01,108.3
2014-11-01,108.3
2014-12-01,108.3
2015-01-01,108.3
2015-02-01,108.3
2015-03-01,108.3
2015-04-01,109.9
2015-05-01,109.9
2015-06-01,109.9
2015-07-01,109.9
