Date,たばこ
2013-02-01,126.2
2013-03-01,126.2
2013-04-01,126.2
2013-05-01,126.2
2013-06-01,126.2
2013-07-01,126.2
2013-08-01,126.2
2013-09-01,126.2
2013-10-01,126.2
2013-11-01,126.2
2013-12-01,126.2
2014-01-01,126.2
2014-02-01,126.2
2014-03-01,126.2
2014-04-01,131.6
2014-05-01,131.6
2014-06-01,131.6
2014-07-01,131.6
2014-08-01,131.6
2014-09-01,131.6
2014-10-01,131.6
2014-11-01,131.6
2014-12-01,131.6
2015-01-01,131.6
2015-02-01,131.6
2015-03-01,131.6
2015-04-01,131.6
2015-05-01,131.6
2015-06-01,131.6
2015-07-01,131.6
