Date,他の諸雑費
2013-02-01,105.5
2013-03-01,105.5
2013-04-01,105.6
2013-05-01,105.6
2013-06-01,105.6
2013-07-01,105.6
2013-08-01,105.6
2013-09-01,105.6
2013-10-01,112.4
2013-11-01,112.4
2013-12-01,112.4
2014-01-01,112.5
2014-02-01,112.5
2014-03-01,112.5
2014-04-01,112.6
2014-05-01,112.6
2014-06-01,112.6
2014-07-01,112.6
2014-08-01,112.6
2014-09-01,112.7
2014-10-01,112.7
2014-11-01,112.7
2014-12-01,112.7
2015-01-01,112.7
2015-02-01,112.7
2015-03-01,112.7
2015-04-01,111.8
2015-05-01,111.8
2015-06-01,111.8
2015-07-01,111.8
