Date,労働力人口.女.季節調整値.万人
2013-02-01,2799
2013-03-01,2795
2013-04-01,2805
2013-05-01,2797
2013-06-01,2782
2013-07-01,2785
2013-08-01,2804
2013-09-01,2810
2013-10-01,2820
2013-11-01,2831
2013-12-01,2827
2014-01-01,2813
2014-02-01,2811
2014-03-01,2811
2014-04-01,2803
2014-05-01,2819
2014-06-01,2836
2014-07-01,2834
2014-08-01,2822
2014-09-01,2831
2014-10-01,2831
2014-11-01,2830
2014-12-01,2844
2015-01-01,2837
2015-02-01,2838
2015-03-01,2836
2015-04-01,2819
2015-05-01,2829
2015-06-01,2859
2015-07-01,2851
