Date,建築物着工統計.非木造.千平米
2013-02-01,6703.936
2013-03-01,6989.291
2013-04-01,7438.404
2013-05-01,7179.274
2013-06-01,7352.272
2013-07-01,7531.598
2013-08-01,7180.651
2013-09-01,7889.398
2013-10-01,7230.449
2013-11-01,6983.239
2013-12-01,6992.287
2014-01-01,7675.785
2014-02-01,6401.348
2014-03-01,6604.074
2014-04-01,7198.902
2014-05-01,6025.684
2014-06-01,7142.864
2014-07-01,6777.61
2014-08-01,6797.778
2014-09-01,6237.201
2014-10-01,7758.777
2014-11-01,6140.097
2014-12-01,5763.087
2015-01-01,5974.757
2015-02-01,6606.521
2015-03-01,5714.012
2015-04-01,7180.323
2015-05-01,6362.1
2015-06-01,7235.125
2015-07-01,6833.034
