Date,食料
2013-02-01,99.3
2013-03-01,98.8
2013-04-01,98.8
2013-05-01,98.7
2013-06-01,98.6
2013-07-01,99.1
2013-08-01,99.3
2013-09-01,100.3
2013-10-01,100.2
2013-11-01,100.4
2013-12-01,101
2014-01-01,101.6
2014-02-01,101.3
2014-03-01,101.2
2014-04-01,103.8
2014-05-01,103.9
2014-06-01,103.7
2014-07-01,103.6
2014-08-01,104.2
2014-09-01,105.4
2014-10-01,104
2014-11-01,103.3
2014-12-01,104.2
2015-01-01,105.9
2015-02-01,105.5
2015-03-01,105.5
2015-04-01,106.6
2015-05-01,107.2
2015-06-01,106.3
2015-07-01,106.2
