Date,非製造業
2008-03-01,10839838
2008-06-01,6280715
2008-09-01,6898431
2008-12-01,6443996
2009-03-01,7846162
2009-06-01,5391951
2009-09-01,6010823
2009-12-01,6069416
2010-03-01,7877988
2010-06-01,5572596
2010-09-01,6184161
2010-12-01,6041584
2011-03-01,7427335
2011-06-01,4977356
2011-09-01,5301897
2011-12-01,6562395
2012-03-01,7653782
2012-06-01,5170253
2012-09-01,5474363
2012-12-01,6021090
2013-03-01,7540895
2013-06-01,5458482
2013-09-01,5834791
2013-12-01,6362219
2014-03-01,8118122
2014-06-01,5731543
2014-09-01,5993904
2014-12-01,6383408
2015-03-01,8753760
2015-06-01,5880730
