Date,貿易収支／輸入(兆円)
1996-01-01,2.6613
1996-02-01,2.6568
1996-03-01,2.6638
1996-04-01,2.9799
1996-05-01,2.8625
1996-06-01,2.6073
1996-07-01,2.9787
1996-08-01,2.7697
1996-09-01,2.7302
1996-10-01,3.1261
1996-11-01,2.9554
1996-12-01,2.989
1997-01-01,3.1872
1997-02-01,2.9797
1997-03-01,3.3258
1997-04-01,3.2493
1997-05-01,3.0125
1997-06-01,2.8658
1997-07-01,3.0457
1997-08-01,2.8394
1997-09-01,2.9669
1997-10-01,3.1516
1997-11-01,2.7928
1997-12-01,3.0924
1998-01-01,3.1243
1998-02-01,2.4591
1998-03-01,2.9593
1998-04-01,2.7877
1998-05-01,2.4531
1998-06-01,2.7666
1998-07-01,2.8582
1998-08-01,2.6769
1998-09-01,2.6499
1998-10-01,2.6408
1998-11-01,2.4676
1998-12-01,2.3682
1999-01-01,2.3575
1999-02-01,2.328
1999-03-01,2.6313
1999-04-01,2.6615
1999-05-01,2.4349
1999-06-01,2.5755
1999-07-01,2.6195
1999-08-01,2.6879
1999-09-01,2.5436
1999-10-01,2.6024
1999-11-01,2.8884
1999-12-01,2.7871
2000-01-01,2.6749
2000-02-01,2.6152
2000-03-01,3.1974
2000-04-01,2.8578
2000-05-01,2.9381
2000-06-01,2.9345
2000-07-01,2.9279
2000-08-01,3.176
2000-09-01,2.9488
2000-10-01,3.3432
2000-11-01,3.2496
2000-12-01,3.4018
2001-01-01,3.3333
2001-02-01,2.9031
2001-03-01,3.4953
2001-04-01,3.1864
2001-05-01,3.298
2001-06-01,2.9614
2001-07-01,3.1871
2001-08-01,3.0839
2001-09-01,2.702
2001-10-01,3.1825
2001-11-01,2.9785
2001-12-01,2.8782
2002-01-01,2.961
2002-02-01,2.8434
2002-03-01,3.0291
2002-04-01,3.1013
2002-05-01,3.1076
2002-06-01,2.7754
2002-07-01,3.1905
2002-08-01,2.9651
2002-09-01,2.9523
2002-10-01,3.2716
2002-11-01,3.2842
2002-12-01,3.3004
2003-01-01,3.3116
2003-02-01,2.9721
2003-03-01,3.3722
2003-04-01,3.3336
2003-05-01,3.2089
2003-06-01,3.1652
2003-07-01,3.3524
2003-08-01,3.0677
2003-09-01,3.2671
2003-10-01,3.3347
2003-11-01,3.1155
2003-12-01,3.365
2004-01-01,3.3467
2004-02-01,2.9374
2004-03-01,3.7588
2004-04-01,3.5456
2004-05-01,3.311
2004-06-01,3.6608
2004-07-01,3.646
2004-08-01,3.7205
2004-09-01,3.673
2004-10-01,3.7877
2004-11-01,4.124
2004-12-01,3.7686
2005-01-01,3.7943
2005-02-01,3.3234
2005-03-01,4.2369
2005-04-01,4.037
2005-05-01,4.0745
2005-06-01,4.1722
2005-07-01,4.1791
2005-08-01,4.6342
2005-09-01,4.4278
2005-10-01,4.5967
2005-11-01,4.8294
2005-12-01,4.933
2006-01-01,4.8828
2006-02-01,4.4451
2006-03-01,5.3155
2006-04-01,4.9889
2006-05-01,4.8719
2006-06-01,5.0234
2006-07-01,4.9702
2006-08-01,5.3993
2006-09-01,5.2413
2006-10-01,5.3854
2006-11-01,5.1427
2006-12-01,5.2901
2007-01-01,5.4091
2007-02-01,4.8822
2007-03-01,5.2789
2007-04-01,5.1548
2007-05-01,5.599
2007-06-01,5.4727
2007-07-01,5.7788
2007-08-01,5.6471
2007-09-01,4.9682
2007-10-01,5.8374
2007-11-01,5.8453
2007-12-01,5.9627
2008-01-01,5.9129
2008-02-01,5.4225
2008-03-01,5.9751
2008-04-01,5.8787
2008-05-01,5.9185
2008-06-01,6.4871
2008-07-01,6.8625
2008-08-01,6.7312
2008-09-01,6.5848
2008-10-01,6.3231
2008-11-01,5.0215
2008-12-01,4.6901
2009-01-01,4.025
2009-02-01,3.0423
2009-03-01,3.7121
2009-04-01,3.648
2009-05-01,3.2599
2009-06-01,3.6147
2009-07-01,4.0193
2009-08-01,3.8275
2009-09-01,4.0693
