Date,35-44歳.正規の職員・従業員
2013-02-01,946
2013-03-01,939
2013-04-01,955
2013-05-01,956
2013-06-01,959
2013-07-01,955
2013-08-01,954
2013-09-01,962
2013-10-01,962
2013-11-01,959
2013-12-01,945
2014-01-01,942
2014-02-01,920
2014-03-01,926
2014-04-01,933
2014-05-01,935
2014-06-01,955
2014-07-01,960
2014-08-01,952
2014-09-01,960
2014-10-01,949
2014-11-01,946
2014-12-01,950
2015-01-01,938
2015-02-01,931
2015-03-01,931
2015-04-01,917
2015-05-01,917
2015-06-01,933
2015-07-01,942
