Date,卸売業・小売業(集約)
2008-03-01,1619934
2008-06-01,1130423
2008-09-01,1395295
2008-12-01,1184398
2009-03-01,1312748
2009-06-01,1178243
2009-09-01,1233814
2009-12-01,1228662
2010-03-01,1345743
2010-06-01,1099609
2010-09-01,1332052
2010-12-01,1163181
2011-03-01,1297903
2011-06-01,1230054
2011-09-01,1068011
2011-12-01,1449017
2012-03-01,1208769
2012-06-01,1185849
2012-09-01,1183406
2012-12-01,1426150
2013-03-01,1358828
2013-06-01,1233754
2013-09-01,1237591
2013-12-01,1334510
2014-03-01,1388854
2014-06-01,1317999
2014-09-01,1371426
2014-12-01,1387096
2015-03-01,1605152
2015-06-01,1284712
