Date,理美容サービス
2013-02-01,99.6
2013-03-01,99.5
2013-04-01,99.6
2013-05-01,99.5
2013-06-01,99.6
2013-07-01,99.5
2013-08-01,99.6
2013-09-01,99.5
2013-10-01,99.5
2013-11-01,99.5
2013-12-01,99.6
2014-01-01,99.5
2014-02-01,99.5
2014-03-01,99.5
2014-04-01,101.8
2014-05-01,101.8
2014-06-01,101.9
2014-07-01,101.9
2014-08-01,102.1
2014-09-01,101.9
2014-10-01,101.8
2014-11-01,101.8
2014-12-01,102
2015-01-01,101.9
2015-02-01,102
2015-03-01,102
2015-04-01,102.2
2015-05-01,102.1
2015-06-01,102.2
2015-07-01,102.2
