Date,D.I.／業況／全規模／製造業／実績
1974-06-01,10
1974-09-01,-15
1974-12-01,-32
1975-03-01,-52
1975-06-01,-53
1975-09-01,-47
1975-12-01,-38
1976-03-01,-34
1976-06-01,-15
1976-09-01,-3
1976-12-01,-4
1977-03-01,-15
1977-06-01,-15
1977-09-01,-19
1977-12-01,-21
1978-03-01,-21
1978-06-01,-9
1978-09-01,1
1978-12-01,3
1979-03-01,8
1979-06-01,20
1979-09-01,24
1979-12-01,22
1980-03-01,17
1980-06-01,21
1980-09-01,10
1980-12-01,0
1981-03-01,-8
1981-06-01,-11
1981-09-01,-12
1981-12-01,-9
1982-03-01,-11
1982-06-01,-16
1982-09-01,-22
1982-12-01,-26
1983-03-01,-31
1983-06-01,-27
1983-09-01,-20
1983-12-01,-14
1984-03-01,-5
1984-06-01,3
1984-09-01,6
1984-12-01,7
1985-03-01,5
1985-06-01,3
1985-09-01,0
1985-12-01,-7
1986-03-01,-15
1986-06-01,-22
1986-09-01,-26
1986-12-01,-27
1987-03-01,-27
1987-06-01,-22
1987-09-01,-12
1987-12-01,5
1988-03-01,15
1988-06-01,26
1988-09-01,30
1988-12-01,33
1989-03-01,34
1989-06-01,41
1989-09-01,40
1989-12-01,37
1990-03-01,36
1990-06-01,34
1990-09-01,35
1990-12-01,33
1991-03-01,31
1991-06-01,28
1991-09-01,21
1991-12-01,9
1992-03-01,-6
1992-06-01,-17
1992-09-01,-25
1992-12-01,-32
1993-03-01,-40
1993-06-01,-35
1993-09-01,-39
1993-12-01,-45
1994-03-01,-46
1994-06-01,-36
1994-09-01,-29
1994-12-01,-22
1995-03-01,-18
1995-06-01,-16
1995-09-01,-22
1995-12-01,-22
1996-03-01,-18
1996-06-01,-12
1996-09-01,-11
1996-12-01,-8
1997-03-01,0
1997-06-01,0
1997-09-01,-6
1997-12-01,-15
1998-03-01,-33
1998-06-01,-44
1998-09-01,-53
1998-12-01,-56
1999-03-01,-50
1999-06-01,-42
1999-09-01,-33
1999-12-01,-26
2000-03-01,-18
2000-06-01,-12
2000-09-01,-7
2000-12-01,-6
2001-03-01,-19
2001-06-01,-30
2001-09-01,-43
2001-12-01,-47
2002-03-01,-47
2002-06-01,-32
2002-09-01,-28
2002-12-01,-24
2003-03-01,-22
2003-06-01,-20
2003-09-01,-15
2003-12-01,-5
2004-03-01,4
2004-06-01,10
2004-09-01,13
2004-12-01,11
2005-03-01,6
2005-06-01,8
2005-09-01,8
2005-12-01,12
2006-03-01,12
2006-06-01,12
2006-09-01,13
2006-12-01,16
2007-03-01,15
2007-06-01,13
2007-09-01,9
2007-12-01,9
2008-03-01,2
2008-06-01,-3
2008-09-01,-11
2008-12-01,-25
2009-03-01,-57
2009-06-01,-55
2009-09-01,-43
2009-12-01,-32
2010-03-01,-23
2010-06-01,-10
2010-09-01,-4
2010-12-01,-4
2011-03-01,-4
2011-06-01,-15
2011-09-01,-5
2011-12-01,-5
2012-03-01,-7
2012-06-01,-8
2012-09-01,-8
2012-12-01,-15
2013-03-01,-15
2013-06-01,-6
2013-09-01,-2
2013-12-01,6
2014-03-01,10
2014-06-01,6
2014-09-01,4
2014-12-01,6
2015-03-01,5
2015-06-01,4
2015-09-01,5
