Date,広告業
2008-03-01,223150
2008-06-01,113381
2008-09-01,262143
2008-12-01,155943
2009-03-01,163849
2009-06-01,15838
2009-09-01,26139
2009-12-01,19318
2010-03-01,38453
2010-06-01,18480
2010-09-01,11420
2010-12-01,19165
2011-03-01,17478
2011-06-01,59551
2011-09-01,11888
2011-12-01,16041
2012-03-01,30990
2012-06-01,18566
2012-09-01,18307
2012-12-01,14944
2013-03-01,14934
2013-06-01,14121
2013-09-01,13887
2013-12-01,17522
2014-03-01,42384
2014-06-01,15117
2014-09-01,21411
2014-12-01,21877
2015-03-01,37179
2015-06-01,14788
