Date,家事雑貨
2013-02-01,102.1
2013-03-01,101.9
2013-04-01,101.7
2013-05-01,102
2013-06-01,102.1
2013-07-01,102.2
2013-08-01,101.9
2013-09-01,102.1
2013-10-01,102.2
2013-11-01,102.4
2013-12-01,102.2
2014-01-01,102.3
2014-02-01,102.2
2014-03-01,102.5
2014-04-01,105.4
2014-05-01,105.5
2014-06-01,105.7
2014-07-01,105.7
2014-08-01,106.2
2014-09-01,106.4
2014-10-01,106.3
2014-11-01,106.6
2014-12-01,106.7
2015-01-01,107.1
2015-02-01,107.4
2015-03-01,107.5
2015-04-01,107.7
2015-05-01,107.9
2015-06-01,107.9
2015-07-01,108
