Date,非鉄金属製造業
2008-03-01,200468
2008-06-01,160408
2008-09-01,179832
2008-12-01,146231
2009-03-01,162395
2009-06-01,87755
2009-09-01,106969
2009-12-01,87405
2010-03-01,97472
2010-06-01,90843
2010-09-01,97649
2010-12-01,86093
2011-03-01,126450
2011-06-01,80801
2011-09-01,98705
2011-12-01,83645
2012-03-01,142742
2012-06-01,77305
2012-09-01,97580
2012-12-01,88889
2013-03-01,121264
2013-06-01,82242
2013-09-01,81571
2013-12-01,72436
2014-03-01,119879
2014-06-01,84561
2014-09-01,104004
2014-12-01,103431
2015-03-01,129206
2015-06-01,70413
