Date,寝具類
2013-02-01,100.6
2013-03-01,100.5
2013-04-01,101.7
2013-05-01,101.4
2013-06-01,101.3
2013-07-01,101.1
2013-08-01,100.8
2013-09-01,101.4
2013-10-01,102.6
2013-11-01,103
2013-12-01,102.4
2014-01-01,101.5
2014-02-01,100.3
2014-03-01,99.8
2014-04-01,104.4
2014-05-01,104.5
2014-06-01,104.7
2014-07-01,104.4
2014-08-01,104.7
2014-09-01,105.5
2014-10-01,106.7
2014-11-01,107.3
2014-12-01,107.1
2015-01-01,106.4
2015-02-01,106.3
2015-03-01,105.1
2015-04-01,106.5
2015-05-01,107.4
2015-06-01,107.7
2015-07-01,107.9
