Date,業務用機械器具製造業
2008-03-01,149970
2008-06-01,106381
2008-09-01,192271
2008-12-01,183573
2009-03-01,146486
2009-06-01,149057
2009-09-01,157904
2009-12-01,120558
2010-03-01,157537
2010-06-01,101904
2010-09-01,127265
2010-12-01,121305
2011-03-01,171106
2011-06-01,123307
2011-09-01,135944
2011-12-01,151939
2012-03-01,169649
2012-06-01,134812
2012-09-01,135780
2012-12-01,122936
2013-03-01,136350
2013-06-01,102593
2013-09-01,118540
2013-12-01,138447
2014-03-01,187827
2014-06-01,109573
2014-09-01,114808
2014-12-01,132707
2015-03-01,182591
2015-06-01,143068
