Date,生鮮食品
2013-02-01,98.8
2013-03-01,96.2
2013-04-01,96
2013-05-01,94.8
2013-06-01,93.8
2013-07-01,97.1
2013-08-01,97.9
2013-09-01,103.4
2013-10-01,101.5
2013-11-01,102.7
2013-12-01,106.2
2014-01-01,108.6
2014-02-01,106.5
2014-03-01,105
2014-04-01,105.6
2014-05-01,106.3
2014-06-01,104.2
2014-07-01,102.8
2014-08-01,106.7
2014-09-01,113.5
2014-10-01,103.9
2014-11-01,99.5
2014-12-01,105.5
2015-01-01,114.8
2015-02-01,112.1
2015-03-01,111.6
2015-04-01,115.3
2015-05-01,118
2015-06-01,111.7
2015-07-01,110.2
