Date,割合.%.非正規の職員・従業員
2013-02-01,72.1
2013-03-01,70.5
2013-04-01,70
2013-05-01,71.3
2013-06-01,69.8
2013-07-01,69.6
2013-08-01,73.9
2013-09-01,72.2
2013-10-01,70.8
2013-11-01,73
2013-12-01,74.1
2014-01-01,75.1
2014-02-01,74.6
2014-03-01,72.6
2014-04-01,71.2
2014-05-01,72.2
2014-06-01,71.3
2014-07-01,71.3
2014-08-01,73.5
2014-09-01,74.2
2014-10-01,73.2
2014-11-01,74.2
2014-12-01,73
2015-01-01,74.2
2015-02-01,75.1
2015-03-01,73.1
2015-04-01,74.3
2015-05-01,74.4
2015-06-01,73
2015-07-01,72.5
