Bin,Frequency,Ratio
-7200,1,0.24
-7100,0,0
-7000,0,0
-6900,0,0
-6800,0,0
-6700,0,0
-6600,0,0
-6500,0,0
-6400,0,0
-6300,0,0
-6200,0,0
-6100,0,0
-6000,0,0
-5900,0,0
-5800,0,0
-5700,0,0
-5600,0,0
-5500,0,0
-5400,0,0
-5300,0,0
-5200,0,0
-5100,0,0
-5000,0,0
-4900,0,0
-4800,1,0.24
-4700,0,0
-4600,0,0
-4500,1,0.24
-4400,1,0.24
-4300,2,0.47
-4200,0,0
-4100,0,0
-4000,0,0
-3900,0,0
-3800,0,0
-3700,0,0
-3600,0,0
-3500,0,0
-3400,1,0.24
-3300,0,0
-3200,0,0
-3100,0,0
-3000,1,0.24
-2900,1,0.24
-2800,1,0.24
-2700,2,0.47
-2600,0,0
-2500,2,0.47
-2400,2,0.47
-2300,2,0.47
-2200,5,1.18
-2100,3,0.71
-2000,5,1.18
-1900,9,2.12
-1800,4,0.94
-1700,4,0.94
-1600,9,2.12
-1500,3,0.71
-1400,6,1.41
-1300,12,2.82
-1200,14,3.29
-1100,16,3.76
-1000,3,0.71
-900,14,3.29
-800,11,2.59
-700,13,3.06
-600,8,1.88
-500,8,1.88
-400,12,2.82
-300,10,2.35
-200,4,0.94
-100,2,0.47
0,1,0.24
100,6,1.41
200,9,2.12
300,12,2.82
400,20,4.71
500,18,4.24
600,23,5.41
700,16,3.76
800,16,3.76
900,18,4.24
1000,13,3.06
1100,11,2.59
1200,11,2.59
1300,9,2.12
1400,7,1.65
1500,9,2.12
1600,8,1.88
1700,3,0.71
1800,4,0.94
1900,3,0.71
2000,2,0.47
2100,1,0.24
2200,1,0.24
2300,2,0.47
2400,3,0.71
2500,0,0
2600,0,0
2700,0,0
2800,1,0.24
2900,0,0
3000,1,0.24
3100,0,0
3200,0,0
3300,1,0.24
3400,0,0
3500,1,0.24
3600,0,0
3700,1,0.24
3800,0,0
3900,0,0
4000,0,0
4100,0,0
4200,0,0
4300,0,0
4400,0,0
4500,0,0
4600,0,0
4700,0,0
4800,0,0
4900,0,0
5000,0,0
5100,1,0.24
5200,0,0
