date,BRL.USD.correlation
2015-04-02,-0.726702671385027
2015-04-03,-0.652016421701616
2015-04-04,-0.530973304768576
2015-04-05,-0.385478187749199
2015-04-06,-0.217935716798233
2015-04-07,-0.0277039226016191
2015-04-08,0.165434944485059
2015-04-09,0.371136139161679
2015-04-10,0.534561177515326
2015-04-11,0.694113483352516
2015-04-12,0.812328998887575
2015-04-13,0.853241709803376
2015-04-14,0.85993658462849
2015-04-15,0.856082326542815
2015-04-16,0.86577142315487
2015-04-17,0.871344210282628
2015-04-18,0.877213564331716
2015-04-19,0.877601833525233
2015-04-20,0.872669825894685
2015-04-21,0.8717636383416
2015-04-22,0.871668345906886
2015-04-23,0.874832508240715
2015-04-24,0.91343125494876
2015-04-25,0.93922719127827
2015-04-26,0.944236702759564
2015-04-27,0.94809446472714
2015-04-28,0.948328379113468
2015-04-29,0.948360046535609
2015-04-30,0.952219692793781
2015-05-01,0.94706893476114
