Date,情報通信機械器具製造業
2008-03-01,743901
2008-06-01,520588
2008-09-01,557373
2008-12-01,420547
2009-03-01,458247
2009-06-01,250514
2009-09-01,299454
2009-12-01,264894
2010-03-01,336144
2010-06-01,319734
2010-09-01,401459
2010-12-01,405594
2011-03-01,508415
2011-06-01,435295
2011-09-01,460395
2011-12-01,396467
2012-03-01,435822
2012-06-01,436538
2012-09-01,361352
2012-12-01,279116
2013-03-01,375664
2013-06-01,331904
2013-09-01,303373
2013-12-01,298206
2014-03-01,360620
2014-06-01,315849
2014-09-01,380998
2014-12-01,353752
2015-03-01,433184
2015-06-01,396867
