Date,鉄鋼業
2008-03-01,382795
2008-06-01,250237
2008-09-01,299780
2008-12-01,250781
2009-03-01,343660
2009-06-01,248787
2009-09-01,287559
2009-12-01,223803
2010-03-01,289000
2010-06-01,241694
2010-09-01,312785
2010-12-01,337151
2011-03-01,378257
2011-06-01,194091
2011-09-01,244558
2011-12-01,277855
2012-03-01,362657
2012-06-01,154284
2012-09-01,165990
2012-12-01,193436
2013-03-01,280513
2013-06-01,140830
2013-09-01,192632
2013-12-01,144682
2014-03-01,225547
2014-06-01,172156
2014-09-01,204584
2014-12-01,188536
2015-03-01,236844
2015-06-01,169878
