date,EUR.USD.correlation
2015-03-17,-0.949818321292534
2015-03-18,-0.957585034305654
2015-03-19,-0.959639972646971
2015-03-20,-0.952702338148749
2015-03-21,-0.942134223546187
2015-03-22,-0.915377600180892
2015-03-23,-0.886484259175048
2015-03-24,-0.8449162262865
2015-03-25,-0.781615289545127
2015-03-26,-0.709425655173956
2015-03-27,-0.625621106792852
2015-03-28,-0.549942151012441
2015-03-29,-0.460138713069435
2015-03-30,-0.370736607786482
2015-03-31,-0.28153831489153
2015-04-01,-0.199623176791234
2015-04-02,-0.10383914651302
2015-04-03,0.0367245887825918
2015-04-04,0.226568678814016
2015-04-05,0.417784629051429
2015-04-06,0.566964034028617
2015-04-07,0.653793282999266
2015-04-08,0.712818917398147
2015-04-09,0.759233273688141
2015-04-10,0.735251441712607
2015-04-11,0.617876734588329
2015-04-12,0.47247780400564
2015-04-13,0.322384539354204
2015-04-14,0.132799598804285
2015-04-15,-0.0652761391325763
