Date,販売価格見通し／１年後／企業の物価見通しの平均／全規模／非製造業
2014-03-01,1.4
2014-06-01,1.3
2014-09-01,1.2
2014-12-01,1.1
2015-03-01,1.1
2015-06-01,1.1
2015-09-01,0.8
