Date,65歳以上.正規の職員・従業員
2013-02-01,76
2013-03-01,83
2013-04-01,83
2013-05-01,83
2013-06-01,86
2013-07-01,83
2013-08-01,74
2013-09-01,80
2013-10-01,86
2013-11-01,83
2013-12-01,78
2014-01-01,75
2014-02-01,78
2014-03-01,85
2014-04-01,88
2014-05-01,86
2014-06-01,91
2014-07-01,94
2014-08-01,89
2014-09-01,84
2014-10-01,88
2014-11-01,87
2014-12-01,91
2015-01-01,90
2015-02-01,88
2015-03-01,95
2015-04-01,88
2015-05-01,90
2015-06-01,96
2015-07-01,99
