date,GSPC.Close.correlation
2015-03-19,-0.0299674960920935
2015-03-20,-0.036175334341669
2015-03-23,-0.0793890196913335
2015-03-24,-0.198541915632134
2015-03-25,-0.334655917915063
2015-03-26,-0.473460899461227
2015-03-27,-0.535904032359408
2015-03-30,-0.521623196650586
2015-03-31,-0.536946175462896
2015-04-01,-0.562768676468458
2015-04-02,-0.575908236142209
2015-04-06,-0.532020666247165
2015-04-07,-0.493639457431004
2015-04-08,-0.424392893308453
2015-04-09,-0.321100098320028
2015-04-10,-0.180233057855412
2015-04-13,-0.0786393825037185
2015-04-14,0.0814245756979509
2015-04-15,0.252407480486481
2015-04-16,0.383689934680621
2015-04-17,0.46475374047393
2015-04-20,0.494753838059952
2015-04-21,0.536320636731517
2015-04-22,0.519302478747044
2015-04-23,0.499833253814631
2015-04-24,0.520950268421805
2015-04-27,0.497105272683133
2015-04-28,0.537410711629937
2015-04-29,0.537641197928871
2015-04-30,0.549903208191999
