Date,25-34歳.正規の職員・従業員
2013-02-01,796
2013-03-01,787
2013-04-01,803
2013-05-01,803
2013-06-01,798
2013-07-01,803
2013-08-01,810
2013-09-01,792
2013-10-01,787
2013-11-01,801
2013-12-01,796
2014-01-01,792
2014-02-01,787
2014-03-01,784
2014-04-01,784
2014-05-01,792
2014-06-01,774
2014-07-01,780
2014-08-01,788
2014-09-01,786
2014-10-01,778
2014-11-01,773
2014-12-01,774
2015-01-01,775
2015-02-01,779
2015-03-01,777
2015-04-01,775
2015-05-01,779
2015-06-01,788
2015-07-01,771
