Date,Uranium、 NUEXCO、 Restricted Price、 Nuexco exchange spot、 US＄ per pound
1980-01-01,40
1980-02-01,38
1980-03-01,35
1980-04-01,32
1980-05-01,32
1980-06-01,31.5
1980-07-01,31.5
1980-08-01,30
1980-09-01,28.5
1980-10-01,28
1980-11-01,28
1980-12-01,27
1981-01-01,25
1981-02-01,25
1981-03-01,25
1981-04-01,25
1981-05-01,25
1981-06-01,24.25
1981-07-01,23.5
1981-08-01,23.5
1981-09-01,23.5
1981-10-01,23.5
1981-11-01,23.5
1981-12-01,23.5
1982-01-01,23
1982-02-01,23
1982-03-01,22.5
1982-04-01,20.75
1982-05-01,20.5
1982-06-01,19.25
1982-07-01,18.25
1982-08-01,17
1982-09-01,17
1982-10-01,17.5
1982-11-01,19.75
1982-12-01,20.25
1983-01-01,21.5
1983-02-01,21.75
1983-03-01,22.25
1983-04-01,23.25
1983-05-01,23.5
1983-06-01,23.5
1983-07-01,24
1983-08-01,24
1983-09-01,24
1983-10-01,23.5
1983-11-01,22.5
1983-12-01,22
1984-01-01,20.5
1984-02-01,17.5
1984-03-01,17
1984-04-01,17.75
1984-05-01,17.75
1984-06-01,17.5
1984-07-01,17.5
1984-08-01,17.5
1984-09-01,17.5
1984-10-01,16
1984-11-01,15.5
1984-12-01,15.25
1985-01-01,15
1985-02-01,15
1985-03-01,15
1985-04-01,14.25
1985-05-01,15
1985-06-01,15
1985-07-01,11.85
1985-08-01,15.75
1985-09-01,11.7
1985-10-01,16
1985-11-01,16
1985-12-01,11.7
1986-01-01,17
1986-02-01,17.08
1986-03-01,17.17
1986-04-01,17.25
1986-05-01,17.17
1986-06-01,17.08
1986-07-01,17
1986-08-01,17
1986-09-01,17
1986-10-01,17
1986-11-01,16.75
1986-12-01,16.65
1987-01-01,16.65
1987-02-01,16.82
1987-03-01,17
1987-04-01,17
1987-05-01,17
1987-06-01,16.9
1987-07-01,16.75
1987-08-01,17
1987-09-01,16.65
1987-10-01,16.65
1987-11-01,16.75
1987-12-01,16.65
1988-01-01,16.45
1988-02-01,16.3
1988-03-01,15.9
1988-04-01,15.9
1988-05-01,15.4
1988-06-01,15.1
1988-07-01,15.1
1988-08-01,14.75
1988-09-01,14.15
1988-10-01,13.2
1988-11-01,12.3
1988-12-01,12
1989-01-01,11.6
1989-02-01,11.35
1989-03-01,11.2
1989-04-01,10.2
1989-05-01,9.85
1989-06-01,9.8
1989-07-01,9.8
1989-08-01,9.6
1989-09-01,9.6
1989-10-01,9.4
1989-11-01,9.3
1989-12-01,9
1990-01-01,9
1990-02-01,8.8
1990-03-01,8.8
1990-04-01,8.65
1990-05-01,9.35
1990-06-01,11
1990-07-01,11.6
1990-08-01,11.45
1990-09-01,10.5
1990-10-01,8.5
1990-11-01,9.5
1990-12-01,9.7
1991-01-01,9.1
1991-02-01,9.5
1991-03-01,9.4
1991-04-01,9
1991-05-01,9.2
1991-06-01,9
1991-07-01,8.55
1991-08-01,8.25
1991-09-01,7.25
1991-10-01,7.25
1991-11-01,7.5
1991-12-01,7.4
1992-01-01,8.75
1992-02-01,7.9
1992-03-01,7.75
1992-04-01,7.75
1992-05-01,7.55
1992-06-01,7.75
1992-07-01,7.75
1992-08-01,8.05
1992-09-01,8.75
1992-10-01,10.25
1992-11-01,10.5
1992-12-01,10
1993-01-01,9.8
1993-02-01,10.1
1993-03-01,10.2
1993-04-01,10.35
1993-05-01,10.1
1993-06-01,10.3
1993-07-01,9.9
1993-08-01,10.05
1993-09-01,10.2
1993-10-01,10.18
1993-11-01,9.9
1993-12-01,9.85
1994-01-01,9.45
1994-02-01,9.45
1994-03-01,9.3
1994-04-01,9.25
1994-05-01,9.25
1994-06-01,9.25
1994-07-01,9.1
1994-08-01,9.05
1994-09-01,9.45
1994-10-01,9.5
1994-11-01,9.6
1994-12-01,10.4
1995-01-01,10.78
1995-02-01,11.15
1995-03-01,11.8
1995-04-01,11.85
1995-05-01,11.9
1995-06-01,11.7
1995-07-01,11.7
1995-08-01,11.7
1995-09-01,11.85
1995-10-01,11.85
1995-11-01,11.85
1995-12-01,11.85
1996-01-01,12.2
1996-02-01,15.75
1996-03-01,15.75
1996-04-01,15.99
1996-05-01,16.38
1996-06-01,16.5
1996-07-01,16.5
1996-08-01,16.46
1996-09-01,16.15
1996-10-01,15.74
1996-11-01,15.07
1996-12-01,14.76
1997-01-01,14.49
1997-02-01,13.81
1997-03-01,13.62
1997-04-01,12.82
1997-05-01,11.83
1997-06-01,10.94
1997-07-01,10.48
1997-08-01,10.39
1997-09-01,10.25
1997-10-01,11.28
1997-11-01,12.75
1997-12-01,12.5
1998-01-01,12.04
1998-02-01,11.38
1998-03-01,10.66
1998-04-01,10.75
1998-05-01,10.75
1998-06-01,10.75
1998-07-01,10.61
1998-08-01,10.5
1998-09-01,10.23
1998-10-01,9.61
1998-11-01,8.88
1998-12-01,8.49
1999-01-01,9.01
1999-02-01,9.2
1999-03-01,10.44
1999-04-01,10.85
1999-05-01,10.72
1999-06-01,10.56
1999-07-01,10.26
1999-08-01,10.11
1999-09-01,9.92
1999-10-01,9.76
1999-11-01,9.71
1999-12-01,9.64
2000-01-01,9.55
2000-02-01,9.39
2000-03-01,9.31
2000-04-01,9.14
2000-05-01,8.5
2000-06-01,8.23
2000-07-01,8.1
2000-08-01,7.96
2000-09-01,7.57
2000-10-01,7.4
2000-11-01,7.13
2000-12-01,7.14
2001-01-01,7.1
2001-02-01,7.39
2001-03-01,7.69
2001-04-01,8.23
2001-05-01,9
2001-06-01,8.78
2001-07-01,8.75
2001-08-01,8.95
2001-09-01,9.15
2001-10-01,9.47
2001-11-01,9.43
2001-12-01,9.5
2002-01-01,9.59
2002-02-01,9.72
2002-03-01,9.95
2002-04-01,9.75
2002-05-01,9.9
2002-06-01,9.9
2002-07-01,9.89
2002-08-01,9.85
2002-09-01,9.8
2002-10-01,9.84
2002-11-01,9.86
2002-12-01,9.88
2003-01-01,10.16
2003-02-01,10.1
2003-03-01,10.1
2003-04-01,10.1
2003-05-01,10.9
2003-06-01,10.9
2003-07-01,10.95
2003-08-01,11.24
2003-09-01,11.49
2003-10-01,12.37
2003-11-01,13.18
2003-12-01,13.35
2004-01-01,14.8
2004-02-01,16.05
2004-03-01,17.14
2004-04-01,17.75
2004-05-01,17.75
2004-06-01,17.88
2004-07-01,17.9
2004-08-01,17.9
2004-09-01,18.6
2004-10-01,20.08
2004-11-01,20.2
2004-12-01,20.5
2005-01-01,20.54
2005-02-01,21.2
2005-03-01,21.84
2005-04-01,23.14
2005-05-01,28.25
2005-06-01,29
2005-07-01,29.28
2005-08-01,29.65
2005-09-01,30.43
2005-10-01,32.75
2005-11-01,33.56
2005-12-01,35.53
2006-01-01,36.75
2006-02-01,37.69
2006-03-01,39.77
2006-04-01,41.1
2006-05-01,42.28
2006-06-01,44.17
2006-07-01,46.5
2006-08-01,47.44
2006-09-01,52.44
2006-10-01,56.06
2006-11-01,61.44
2006-12-01,66.57
2007-01-01,72
2007-02-01,76.25
2007-03-01,89.44
2007-04-01,110.43
2007-05-01,119.11
2007-06-01,136.22
2007-07-01,131.5
2007-08-01,109.6
2007-09-01,85
2007-10-01,77.5
2007-11-01,92
2007-12-01,91.8
2008-01-01,87.56
2008-02-01,76
2008-03-01,73.71
2008-04-01,69.44
2008-05-01,61.67
2008-06-01,59
2008-07-01,61.84
2008-08-01,64.5
2008-09-01,63
2008-10-01,48.6
2008-11-01,50.5
2008-12-01,54.33
2009-01-01,51.44
2009-02-01,47
2009-03-01,43.38
2009-04-01,41.72
2009-05-01,48.56
2009-06-01,51.5
2009-07-01,49.7
2009-08-01,47.19
2009-09-01,44.28
2009-10-01,46.11
2009-11-01,44.75
2009-12-01,44.44
2010-01-01,43.83
2010-02-01,42.1
2010-03-01,40.91
2010-04-01,41.33
2010-05-01,41.3
2010-06-01,40.78
2010-07-01,41.94
2010-08-01,46.06
2010-09-01,46.67
2010-10-01,48.83
2010-11-01,57.16
2010-12-01,60.63
2011-01-01,63.88
2011-02-01,65
2011-03-01,63.5
2011-04-01,57.82
2011-05-01,56.06
2011-06-01,55.4
2011-07-01,52.79
2011-08-01,50.68
2011-09-01,51.98
2011-10-01,52.34
2011-11-01,53.19
2011-12-01,52.18
2012-01-01,52.31
2012-02-01,52.06
2012-03-01,51.29
2012-04-01,51.3
2012-05-01,51.89
2012-06-01,50.83
2012-07-01,50.36
2012-08-01,49.25
2012-09-01,47.73
2012-10-01,44.61
2012-11-01,41.5
2012-12-01,43.67
2013-01-01,42.75
2013-02-01,43.41
2013-03-01,42.28
2013-04-01,41.41
2013-05-01,40.6
2013-06-01,39.94
2013-07-01,38.02
2013-08-01,34.99
2013-09-01,34.45
2013-10-01,34.85
2013-11-01,35.59
2013-12-01,34.59
2014-01-01,35.21
2014-02-01,35.55
2014-03-01,34.7
2014-04-01,32.74
2014-05-01,28.54
2014-06-01,28.23
2014-07-01,28.4
2014-08-01,30.83
2014-09-01,34.37
2014-10-01,35.75
2014-11-01,40.6
