Date,Weekly U.S. Refiner Net Input of Crude Oil  (Thousand Barrels per Day)
2011-12-16,14604
2011-12-23,14585
2011-12-30,14756
2012-01-06,14937
2012-01-13,14585
2012-01-20,14306
2012-01-27,14217
2012-02-03,14397
2012-02-10,14719
2012-02-17,14889
2012-02-24,14607
2012-03-02,14589
2012-03-09,14463
2012-03-16,14363
2012-03-23,14451
2012-03-30,14750
2012-04-06,14355
2012-04-13,14454
2012-04-20,14477
2012-04-27,14707
2012-05-04,14742
2012-05-11,15044
2012-05-18,14987
2012-05-25,15169
2012-06-01,15468
2012-06-08,15620
2012-06-15,15608
2012-06-22,15645
2012-06-29,15631
2012-07-06,15774
2012-07-13,15538
2012-07-20,15796
2012-07-27,15571
2012-08-03,15607
2012-08-10,15711
2012-08-17,15438
2012-08-24,15380
2012-08-31,14608
2012-09-07,14321
2012-09-14,14916
2012-09-21,14624
2012-09-28,14846
2012-10-05,14749
2012-10-12,14819
2012-10-19,14802
2012-10-26,14850
2012-11-02,14667
2012-11-09,14612
2012-11-16,14889
2012-11-23,15174
2012-11-30,15429
2012-12-07,15367
2012-12-14,15594
2012-12-21,15328
2012-12-28,15341
2013-01-04,15257
2013-01-11,15101
2013-01-18,14206
2013-01-25,14481
2013-02-01,14431
2013-02-08,14310
2013-02-15,14176
2013-02-22,14511
2013-03-01,14031
2013-03-08,13994
2013-03-15,14514
2013-03-22,14878
2013-03-29,15008
2013-04-05,15114
2013-04-12,15074
2013-04-19,14488
2013-04-26,14710
2013-05-03,15180
2013-05-10,15253
2013-05-17,15249
2013-05-24,15029
2013-05-31,15462
2013-06-07,15237
2013-06-14,15531
2013-06-21,15704
2013-06-28,16090
2013-07-05,16118
2013-07-12,16237
2013-07-19,16031
2013-07-26,15965
2013-08-02,15893
2013-08-09,15611
2013-08-16,15845
2013-08-23,15774
2013-08-30,15936
2013-09-06,15896
2013-09-13,16110
2013-09-20,15591
2013-09-27,15445
2013-10-04,14890
2013-10-11,14853
2013-10-18,14855
2013-10-25,15052
2013-11-01,15068
2013-11-08,15411
2013-11-15,15447
2013-11-22,15551
2013-11-29,16106
2013-12-06,16131
2013-12-13,15931
2013-12-20,16233
2013-12-27,16247
2014-01-03,16134
2014-01-10,15731
2014-01-17,15216
2014-01-24,15417
2014-01-31,15049
2014-02-07,15215
2014-02-14,15178
2014-02-21,15299
2014-02-28,15212
2014-03-07,14987
2014-03-14,14951
2014-03-21,15092
2014-03-28,15315
2014-04-04,15337
2014-04-11,15613
2014-04-18,15980
2014-04-25,15954
2014-05-02,15904
2014-05-09,15667
2014-05-16,15949
2014-05-23,15851
2014-05-30,16057
2014-06-06,15547
2014-06-13,15397
2014-06-20,15672
2014-06-27,16218
2014-07-04,16252
2014-07-11,16626
2014-07-18,16598
2014-07-25,16551
2014-08-01,16393
2014-08-08,16214
2014-08-15,16418
2014-08-22,16542
2014-08-29,16428
2014-09-05,16332
2014-09-12,16304
2014-09-19,16214
2014-09-26,15689
2014-10-03,15554
2014-10-10,15321
2014-10-17,15208
2014-10-24,15129
2014-10-31,15485
2014-11-07,15752
2014-11-14,15913
2014-11-21,15957
2014-11-28,16356
2014-12-05,16627
2014-12-12,16301
2014-12-19,16341
2014-12-26,16377
2015-01-02,16420
2015-01-09,15893
2015-01-16,14909
2015-01-23,15256
2015-01-30,15544
2015-02-06,15564
2015-02-13,15442
2015-02-20,15243
2015-02-27,15113
2015-03-06,15300
2015-03-13,15436
2015-03-20,15530
2015-03-27,15728
2015-04-03,15929
2015-04-10,16212
2015-04-17,15982
2015-04-24,16100
2015-05-01,16347
2015-05-08,15968
2015-05-15,16213
2015-05-22,16450
2015-05-29,16407
2015-06-05,16576
2015-06-12,16282
2015-06-19,16532
2015-06-26,16531
2015-07-03,16596
2015-07-10,16825
2015-07-17,16870
2015-07-24,16762
2015-07-31,17075
2015-08-07,17029
2015-08-14,16775
2015-08-21,16658
2015-08-28,16389
2015-09-04,16110
2015-09-11,16513
