Date,被保護世帯数
2013-07-01,1588515
2013-08-01,1590318
2013-09-01,1590981
2013-10-01,1594806
2013-11-01,1595674
2013-12-01,1598155
2014-01-01,1599264
2014-02-01,1598898
2014-03-01,1601914
2014-04-01,1600241
2014-05-01,1603093
2014-06-01,1604414
2014-07-01,1608994
2014-08-01,1609830
2014-09-01,1611953
2014-10-01,1615240
2014-11-01,1614900
2014-12-01,1618196
2015-01-01,1618817
2015-02-01,1618685
2015-03-01,1622458
2015-04-01,1620924
2015-05-01,1622525
2015-06-01,1625941
2015-07-01,1628905
