date,AUD.USD.correlation
2015-03-16,-0.713335562144859
2015-03-17,-0.772417698500388
2015-03-18,-0.825243057683075
2015-03-19,-0.864775331318591
2015-03-20,-0.867898965405999
2015-03-21,-0.860919614245304
2015-03-22,-0.805143387602753
2015-03-23,-0.737023581261397
2015-03-24,-0.618376889343968
2015-03-25,-0.439903588941293
2015-03-26,-0.29370611275587
2015-03-27,-0.19892845820003
2015-03-28,-0.0785288615280806
2015-03-29,0.00816654556713503
2015-03-30,0.0684202484255143
2015-03-31,0.0889438095328608
2015-04-01,0.0657159078517103
2015-04-02,0.0243413268655247
2015-04-03,-0.0115069549859414
2015-04-04,-0.00399112489483517
2015-04-05,0.0134363342797096
2015-04-06,0.0190996045582653
2015-04-07,-0.0135099741659296
2015-04-08,-0.0355557322028065
2015-04-09,-0.0269338166007621
2015-04-10,-0.052843541382158
2015-04-11,-0.123705787956854
2015-04-12,-0.169281134490043
2015-04-13,-0.205444505013523
2015-04-14,-0.314402640614157
