date,CAD.USD.correlation
2015-04-02,-0.0460481173655482
2015-04-03,0.0364425420571822
2015-04-04,0.180915859334947
2015-04-05,0.382289227445435
2015-04-06,0.527331691694017
2015-04-07,0.596544617551578
2015-04-08,0.654031046942185
2015-04-09,0.716800344445061
2015-04-10,0.726703257894805
2015-04-11,0.690752874393497
2015-04-12,0.662401831002067
2015-04-13,0.620320383538785
2015-04-14,0.539528370962894
2015-04-15,0.477006678926872
2015-04-16,0.449252130624638
2015-04-17,0.463918390355554
2015-04-18,0.480837442626027
2015-04-19,0.52177756999242
2015-04-20,0.552369249331698
2015-04-21,0.613346270133543
2015-04-22,0.658641606677718
2015-04-23,0.69674403358577
2015-04-24,0.747017280522976
2015-04-25,0.796318256034698
2015-04-26,0.845892850227949
2015-04-27,0.877564959122917
2015-04-28,0.888014994245113
2015-04-29,0.898359636140836
2015-04-30,0.904078606851699
2015-05-01,0.904274846832634
