Date,電気代
2013-02-01,109.9
2013-03-01,110
2013-04-01,111.3
2013-05-01,116.1
2013-06-01,118
2013-07-01,119.2
2013-08-01,119.8
2013-09-01,121.5
2013-10-01,121.4
2013-11-01,120.8
2013-12-01,120.3
2014-01-01,119.8
2014-02-01,120.1
2014-03-01,121
2014-04-01,122.5
2014-05-01,129.3
2014-06-01,129.6
2014-07-01,129.3
2014-08-01,128.9
2014-09-01,128.4
2014-10-01,127.7
2014-11-01,128
2014-12-01,127.9
2015-01-01,128.1
2015-02-01,128.8
2015-03-01,129.6
2015-04-01,129
2015-05-01,130
2015-06-01,127.6
2015-07-01,124.4
