Date,飲食サービス業
2008-03-01,520766
2008-06-01,93418
2008-09-01,86500
2008-12-01,106670
2009-03-01,82920
2009-06-01,149796
2009-09-01,146472
2009-12-01,104212
2010-03-01,100559
2010-06-01,127181
2010-09-01,137619
2010-12-01,131057
2011-03-01,117774
2011-06-01,117818
2011-09-01,180538
2011-12-01,217884
2012-03-01,243177
2012-06-01,126668
2012-09-01,146120
2012-12-01,131868
2013-03-01,176115
2013-06-01,144302
2013-09-01,111348
2013-12-01,128420
2014-03-01,129465
2014-06-01,95953
2014-09-01,93689
2014-12-01,144308
2015-03-01,129748
2015-06-01,160339
