date,RUB.USD.correlation
2015-03-16,0.545741124116138
2015-03-17,0.449422863525621
2015-03-18,0.367417855298936
2015-03-19,0.340647603220887
2015-03-20,0.361856206082344
2015-03-21,0.412342967319749
2015-03-22,0.472084768195588
2015-03-23,0.519182149220948
2015-03-24,0.556642827496382
2015-03-25,0.666367956895977
2015-03-26,0.665934570648148
2015-03-27,0.677942815327377
2015-03-28,0.702930695938091
2015-03-29,0.748255404708509
2015-03-30,0.777093419904264
2015-03-31,0.800751826237946
2015-04-01,0.819677005464352
2015-04-02,0.821327934420773
2015-04-03,0.829269414115018
2015-04-04,0.83872124808248
2015-04-05,0.84986058275911
2015-04-06,0.877567187900359
2015-04-07,0.906593848876211
2015-04-08,0.932149882127231
2015-04-09,0.942256765131923
2015-04-10,0.934344695885858
2015-04-11,0.929084974734403
2015-04-12,0.935699480708439
2015-04-13,0.94009830439707
2015-04-14,0.941115983502718
