Date,家事用消耗品
2013-02-01,96
2013-03-01,96
2013-04-01,95.3
2013-05-01,95.6
2013-06-01,95.4
2013-07-01,95.6
2013-08-01,95.3
2013-09-01,96.2
2013-10-01,96.3
2013-11-01,96.6
2013-12-01,96.2
2014-01-01,96.8
2014-02-01,96.6
2014-03-01,96.6
2014-04-01,100.5
2014-05-01,100.4
2014-06-01,100.2
2014-07-01,99.3
2014-08-01,99.4
2014-09-01,99.8
2014-10-01,100.4
2014-11-01,100.4
2014-12-01,99.4
2015-01-01,99.9
2015-02-01,100.3
2015-03-01,99.9
2015-04-01,100
2015-05-01,100.1
2015-06-01,100
2015-07-01,101.2
