Date,45-54歳.非正規の職員・従業員
2013-02-01,350
2013-03-01,349
2013-04-01,353
2013-05-01,365
2013-06-01,366
2013-07-01,362
2013-08-01,364
2013-09-01,366
2013-10-01,377
2013-11-01,377
2013-12-01,375
2014-01-01,380
2014-02-01,376
2014-03-01,374
2014-04-01,370
2014-05-01,370
2014-06-01,367
2014-07-01,365
2014-08-01,366
2014-09-01,376
2014-10-01,387
2014-11-01,389
2014-12-01,387
2015-01-01,387
2015-02-01,382
2015-03-01,386
2015-04-01,380
2015-05-01,383
2015-06-01,391
2015-07-01,384
