Date,本税-退職所得(百万円)
1984-01-01,182480
1985-01-01,209554
1986-01-01,238347
1987-01-01,285138
1988-01-01,238371
1989-01-01,157972
1990-01-01,161924
1991-01-01,199074
1992-01-01,189664
1993-01-01,211996
1994-01-01,218747
1995-01-01,241535
1996-01-01,223670
1997-01-01,257671
1998-01-01,275545
1999-01-01,315900
2000-01-01,294155
2001-01-01,321573
2002-01-01,380695
2003-01-01,331809
2004-01-01,337706
2005-01-01,294970
2006-01-01,286390
2007-01-01,268510
2008-01-01,260635
2009-01-01,261987
2010-01-01,229569
2011-01-01,228655
2012-01-01,242755
2013-01-01,234564
