Date,建設業
2008-03-01,305627
2008-06-01,328477
2008-09-01,345193
2008-12-01,286745
2009-03-01,361928
2009-06-01,239892
2009-09-01,314420
2009-12-01,243804
2010-03-01,515763
2010-06-01,296708
2010-09-01,384479
2010-12-01,239360
2011-03-01,288912
2011-06-01,374039
2011-09-01,216607
2011-12-01,451648
2012-03-01,384258
2012-06-01,295309
2012-09-01,257099
2012-12-01,313130
2013-03-01,313689
2013-06-01,372063
2013-09-01,451445
2013-12-01,340039
2014-03-01,482628
2014-06-01,351409
2014-09-01,320699
2014-12-01,345179
2015-03-01,417547
2015-06-01,380106
