Date,重加算税(百万円)
1984-01-01,1284
1985-01-01,1731
1986-01-01,2257
1987-01-01,2700
1988-01-01,2149
1989-01-01,1880
1990-01-01,1936
1991-01-01,1690
1992-01-01,1710
1993-01-01,1672
1994-01-01,1687
1995-01-01,1752
1996-01-01,2461
1997-01-01,2788
1998-01-01,2394
1999-01-01,2069
2000-01-01,1990
2001-01-01,1786
2002-01-01,1686
2003-01-01,2008
2004-01-01,1322
2005-01-01,1875
2006-01-01,1476
2007-01-01,1547
2008-01-01,1714
2009-01-01,1446
2010-01-01,1541
2011-01-01,1193
2012-01-01,1416
2013-01-01,1018
