Date,資金循環統計 - 資産・対外証券投資／家計／ストック(兆円)
1997-12-01,4.9842
1998-03-01,5.3296
1998-06-01,5.2701
1998-09-01,5.5366
1998-12-01,4.6233
1999-03-01,5.5697
1999-06-01,5.6529
1999-09-01,6.5368
1999-12-01,4.6606
2000-03-01,4.7412
2000-06-01,4.9907
2000-09-01,5.1844
2000-12-01,6.29
2001-03-01,5.9472
2001-06-01,6.9627
2001-09-01,7.4036
2001-12-01,8.1093
2002-03-01,8.5206
2002-06-01,9.3859
2002-09-01,9.9183
2002-12-01,7.2993
2003-03-01,7.414
2003-06-01,8.9721
2003-09-01,7.0931
2003-12-01,7.0603
2004-03-01,6.912
2004-06-01,7.3188
2004-09-01,8.3817
2004-12-01,7.7381
2005-03-01,7.2581
2005-06-01,8.305
2005-09-01,8.4927
2005-12-01,6.8202
2006-03-01,5.8649
2006-06-01,5.3611
2006-09-01,6.7347
2006-12-01,8.1691
2007-03-01,7.3632
2007-06-01,8.0992
2007-09-01,8.2408
2007-12-01,7.0335
2008-03-01,6.8451
2008-06-01,7.8511
2008-09-01,7.2399
2008-12-01,2.1663
2009-03-01,5.7808
2009-06-01,5.9394
2009-09-01,6.0383
2009-12-01,7.0229
2010-03-01,7.5741
2010-06-01,6.5405
2010-09-01,7.4535
2010-12-01,6.4249
2011-03-01,7.0128
2011-06-01,6.1752
2011-09-01,6.4795
2011-12-01,6.8111
2012-03-01,8.4386
2012-06-01,8.191
2012-09-01,8.5874
2012-12-01,8.4293
2013-03-01,7.9741
2013-06-01,7.5865
2013-09-01,8.4984
2013-12-01,9.1082
2014-03-01,7.2144
2014-06-01,7.9645
2014-09-01,8.9586
2014-12-01,9.418
2015-03-01,9.2871
2015-06-01,9.8339
